left_id,right_id,label,id
571,946,0,0
574,2423,0,1
250,2839,0,2
1162,2109,1,3
741,358,1,4
396,1253,0,5
513,989,0,6
892,951,0,7
1229,1595,0,8
510,2845,0,9
26,521,0,10
1272,2438,0,11
808,313,0,12
135,1886,0,13
93,2959,0,14
1334,3188,0,15
669,674,0,16
632,2112,0,17
113,3117,0,18
753,2524,0,19
709,1548,0,20
604,915,0,21
719,3106,0,22
646,845,0,23
371,3183,0,24
1182,2398,0,25
244,2803,0,26
587,2816,1,27
587,2474,0,28
562,3161,0,29
809,2585,1,30
1174,939,0,31
72,3110,0,32
953,1510,0,33
584,2518,0,34
797,357,0,35
474,3091,0,36
554,3009,0,37
851,2765,0,38
554,2501,0,39
588,1865,0,40
251,1715,0,41
804,2291,0,42
1118,355,0,43
791,3039,0,44
1138,894,0,45
1012,813,1,46
1186,2393,0,47
139,1865,0,48
550,2959,0,49
114,1036,0,50
773,1182,0,51
515,3048,0,52
774,533,0,53
1111,2839,0,54
49,2045,0,55
496,3093,0,56
490,1075,0,57
1242,1879,0,58
557,426,0,59
521,53,0,60
975,734,0,61
1176,2759,0,62
1148,3024,0,63
211,289,0,64
322,3032,0,65
271,959,0,66
268,3128,1,67
346,3095,0,68
138,1819,0,69
523,1169,0,70
994,828,1,71
518,3029,0,72
553,1564,0,73
225,3199,0,74
951,533,0,75
157,1135,0,76
1299,697,1,77
137,1758,0,78
355,793,0,79
1136,3185,0,80
1177,1163,0,81
571,3027,1,82
320,3063,0,83
518,3091,0,84
1242,1385,0,85
572,192,0,86
457,2622,1,87
40,2067,0,88
934,2999,0,89
736,367,0,90
990,2172,0,91
661,566,0,92
1242,1273,0,93
592,897,0,94
551,1757,0,95
763,3116,0,96
371,1514,0,97
1145,2816,0,98
105,3016,0,99
1098,1248,0,100
1246,199,0,101
918,2602,0,102
586,2112,0,103
1011,807,1,104
947,1685,0,105
369,2089,0,106
283,3106,0,107
1269,2926,0,108
412,950,0,109
741,2860,0,110
584,2818,1,111
925,2804,0,112
662,2513,0,113
1080,2011,0,114
1345,2757,0,115
378,2628,1,116
924,1118,0,117
649,69,0,118
522,2959,0,119
26,3019,0,120
128,1789,0,121
772,151,0,122
1272,1032,0,123
606,1183,0,124
858,1159,0,125
412,426,0,126
333,2524,0,127
371,1162,0,128
838,2209,0,129
1287,1033,0,130
635,403,0,131
1055,243,0,132
157,2503,0,133
593,371,0,134
955,851,1,135
512,2154,0,136
320,264,0,137
753,2206,0,138
586,2530,1,139
139,1763,0,140
923,897,0,141
93,1512,0,142
393,137,0,143
541,2837,0,144
1246,1236,0,145
613,3113,0,146
654,367,0,147
1176,2201,0,148
326,3,0,149
571,137,0,150
362,3099,0,151
3,1256,0,152
660,235,1,153
1266,2614,0,154
132,1640,0,155
804,2401,0,156
1284,3026,0,157
606,3160,0,158
837,2606,0,159
689,2932,0,160
44,3022,0,161
78,288,0,162
1111,127,0,163
1101,2889,0,164
1105,2161,0,165
944,1117,0,166
986,2130,0,167
95,1630,1,168
759,1949,1,169
1287,783,0,170
322,2308,0,171
146,2816,0,172
256,1774,0,173
274,3021,0,174
1158,912,1,175
378,2993,0,176
348,2165,0,177
1170,1085,0,178
737,955,0,179
175,2833,0,180
516,531,0,181
1264,2426,0,182
176,3022,0,183
1244,1319,0,184
1095,952,0,185
1013,3192,0,186
262,1122,1,187
348,1585,1,188
180,1542,1,189
382,2112,0,190
572,485,0,191
597,3161,0,192
497,915,0,193
157,744,0,194
250,362,0,195
1290,1048,0,196
827,2291,0,197
731,1475,0,198
917,2290,0,199
652,499,0,200
827,2471,0,201
965,2759,0,202
876,2473,1,203
1145,2877,0,204
516,369,0,205
223,82,0,206
79,3063,0,207
517,1180,0,208
781,1207,0,209
348,1643,0,210
823,2257,0,211
1289,983,0,212
734,2862,0,213
1293,312,0,214
114,1367,0,215
937,1708,0,216
531,1773,0,217
1279,3134,0,218
40,2050,1,219
781,2600,0,220
1185,313,0,221
859,554,0,222
616,3175,0,223
1305,891,0,224
1251,917,0,225
93,2867,0,226
92,1648,1,227
511,3175,0,228
516,897,0,229
1262,955,0,230
273,1253,0,231
991,260,0,232
705,204,0,233
229,352,0,234
532,1099,0,235
1145,3027,0,236
1282,2177,0,237
1199,3138,0,238
1283,496,1,239
1334,1612,0,240
781,2137,0,241
586,1036,0,242
490,1105,0,243
592,1564,0,244
258,2423,0,245
615,1146,0,246
987,825,1,247
571,3183,0,248
1042,1440,0,249
453,548,0,250
1111,1409,0,251
1008,2162,0,252
599,836,0,253
146,1014,0,254
138,1892,0,255
314,1447,0,256
654,2833,0,257
30,568,0,258
211,2423,0,259
273,3133,0,260
1275,2338,1,261
140,1804,0,262
1332,1584,0,263
731,423,0,264
851,2008,0,265
1268,2163,0,266
627,2048,0,267
860,265,0,268
1136,1192,0,269
512,2688,0,270
1038,2565,0,271
584,111,0,272
361,1678,0,273
1267,2829,0,274
29,1020,0,275
248,111,0,276
943,340,0,277
172,2334,0,278
1264,1183,0,279
139,893,0,280
225,2206,0,281
644,2850,0,282
225,2877,0,283
350,939,0,284
1246,1377,0,285
287,3089,0,286
49,2987,0,287
942,854,0,288
618,2998,0,289
827,2325,0,290
781,1162,0,291
1183,2166,0,292
1203,590,1,293
562,1213,0,294
519,1788,0,295
1336,677,0,296
1196,2987,0,297
1151,3219,0,298
1269,204,0,299
751,2710,0,300
1122,2020,0,301
740,930,1,302
592,893,0,303
274,2062,0,304
731,845,0,305
718,450,1,306
669,1115,0,307
541,2480,0,308
1349,430,0,309
1351,3110,0,310
1038,2544,0,311
536,1696,0,312
1072,2139,0,313
347,2457,0,314
364,3213,0,315
615,3188,0,316
506,946,0,317
636,2027,0,318
593,521,0,319
484,521,0,320
1322,1842,0,321
688,250,1,322
554,3048,0,323
26,183,0,324
524,1856,0,325
875,2462,0,326
424,2357,0,327
1264,1062,0,328
799,744,0,329
558,3021,0,330
476,1512,0,331
1230,318,0,332
372,311,0,333
521,286,0,334
90,2154,0,335
79,1762,0,336
532,1307,0,337
1353,2313,0,338
736,369,0,339
855,536,0,340
175,1485,1,341
1266,2442,0,342
614,1075,0,343
344,1881,0,344
547,2332,0,345
553,485,0,346
512,1514,0,347
181,705,0,348
298,946,0,349
389,845,0,350
297,1,0,351
646,3009,0,352
187,1830,0,353
531,1706,0,354
1059,3185,0,355
1130,99,0,356
897,352,0,357
309,2932,0,358
348,1120,0,359
760,2146,0,360
686,1021,0,361
512,2861,0,362
44,2143,0,363
543,3166,0,364
1326,2159,0,365
609,2773,0,366
1251,254,0,367
287,2616,0,368
641,545,1,369
645,375,0,370
804,2333,0,371
548,2472,0,372
578,2480,0,373
1334,1150,0,374
467,3163,0,375
1064,2011,0,376
484,2199,0,377
1230,679,0,378
621,289,1,379
250,352,0,380
73,3106,0,381
316,2489,0,382
196,405,0,383
1309,662,1,384
1145,3187,0,385
452,326,0,386
735,185,0,387
546,3213,0,388
900,993,0,389
808,1427,0,390
956,2288,0,391
1349,558,0,392
528,922,0,393
273,1265,0,394
1341,2313,0,395
457,2855,0,396
761,1163,0,397
1053,3132,0,398
577,3200,0,399
253,1933,0,400
518,2863,0,401
632,16,0,402
748,351,1,403
1092,2993,0,404
452,953,0,405
135,137,0,406
90,2828,0,407
605,3171,0,408
571,1473,0,409
255,3055,0,410
946,1441,0,411
333,25,0,412
1118,3188,0,413
1170,208,0,414
1145,1497,0,415
597,939,0,416
265,2839,0,417
497,3171,0,418
1118,1213,0,419
219,1709,0,420
