Dataset,Model,Distributioanl disparity: Equal opportunity (TPR),Distributioanl disparity: Equalized odds,Distributioanl disparity: PR,Positive Rate Parity (Threshold = 0.5),Equalized odds Parity (Threshold = 0.5),Equal opportunity Parity (Threshold = 0.5),Total Accuracy (Threshold = 0.5),Minority Accuracy (Threshold = 0.5),Majority Accuracy (Threshold = 0.5),Total F1 (Threshold = 0.5),Minority F1 (Threshold = 0.5),Majority F1 (Threshold = 0.5),Positive Rate Parity (Threshold = 0.9),Equalized odds Parity (Threshold = 0.9),Equal opportunity Parity (Threshold = 0.9),Total Accuracy (Threshold = 0.9),Minority Accuracy (Threshold = 0.9),Majority Accuracy (Threshold = 0.9),Total F1 (Threshold = 0.9),Minority F1 (Threshold = 0.9),Majority F1 (Threshold = 0.9),Total AUC,Minority AUC,Majority AUC,Delta AUC
DBLP-GoogleScholar,DeepMatcher,0.0860708333333337,0.0831679913305549,0.057112791697980496,0.0650294535597804,0.09689385234942915,0.09911616161616155,0.9818878439568095,0.969439728353141,0.9833106928003105,0.9515377446411929,0.8846153846153846,0.9567839195979899,0.06493094005931237,0.10960600588385605,0.1117424242424242,0.9778822709857192,0.966044142614601,0.9792353968562003,0.9391471011020603,0.8666666666666667,0.9447599380485286,0.9858278789527588,0.9462426326129666,0.9888915579042891,0.04264892529132247
Beer,LogReg,0.07695833333333212,0.22745349462365713,0.2878666666666656,0.3285714285714285,0.2250000000000001,0.04166666666666663,0.9340659340659341,0.9857142857142858,0.7619047619047619,0.8,0.9333333333333333,0.6666666666666666,0.19999999999999998,0.15000000000000002,0.08333333333333337,0.9560439560439561,0.9714285714285714,0.9047619047619048,0.8461538461538461,0.8571428571428571,0.8333333333333334,0.9842300556586271,0.9939516129032259,0.9333333333333333,0.06061827956989252
iTunes-Amazon,EMTransformer,9.090909090909094e-05,0.053334811529932566,0.10397705802968865,0.10087719298245612,0.04878048780487809,0.0,0.944954128440367,0.9615384615384616,0.9298245614035088,0.9,0.9166666666666666,0.8888888888888888,0.08333333333333331,0.024390243902439046,0.0,0.9541284403669725,0.9615384615384616,0.9473684210526315,0.9152542372881356,0.9166666666666666,0.9142857142857143,0.9972899728997291,0.9977827050997783,1.0,0.0022172949002217113
Beer,DITTO,0.021222222222222198,0.31195119047619185,0.40181857923497727,0.43551912568306006,0.32738095238095233,0.0,0.8791208791208791,0.9508196721311475,0.7333333333333333,0.717948717948718,0.7692307692307693,0.6923076923076923,0.26775956284153,0.18412698412698403,0.0888888888888888,0.9560439560439561,0.9836065573770492,0.9,0.8571428571428571,0.8888888888888888,0.8421052631578947,0.9777365491651205,1.0,0.9417989417989417,0.05820105820105825
DBLP-GoogleScholar,DITTO,0.021902146464646565,0.026177519955549813,0.041717335773217123,0.04281284708299549,0.004219782885631629,0.007954545454545436,0.9745733194009056,0.966044142614601,0.9755482243353386,0.9326568265682657,0.8823529411764706,0.9369369369369369,0.05105799875260161,0.05603781527184293,0.0661616161616162,0.9716126785092303,0.9592529711375212,0.9730254220842228,0.922858495030762,0.85,0.9288274449564772,0.9943376128216618,0.9903732809430256,0.9947686084966892,0.004395327553663675
Walmart-Amazon,EMTransformer,0.01613036963036991,0.008098434701276209,0.02668354536887433,0.026529684975767368,0.008614912752786807,0.016983016983016963,0.9712054660810151,0.96875,0.9714593430263866,0.8451443569553806,0.75,0.8515406162464986,0.025452679052234792,0.002523392332908214,0.011488511488511488,0.9712054660810151,0.96875,0.9714593430263866,0.8443271767810027,0.75,0.8507042253521127,0.9580174088797571,0.9892014063284782,0.9565720846317861,0.03262932169669208
Amazon-Google,DITTO,0.12401576576576567,0.14707389183156983,0.07168371593603769,0.0706689700782808,0.09155726362016836,0.07207207207207211,0.9376362843436546,0.9812206572769953,0.9276914836636315,0.6503667481662592,0.6,0.6529562982005142,0.022826658217471228,0.1049987677647252,0.10135135135135136,0.9136502398604448,0.9741784037558685,0.8998393144081414,0.2978723404255319,0.15384615384615385,0.3048327137546468,0.9595085988966514,0.9774557165861514,0.9548207782250335,0.02263493836111785
iTunes-Amazon,HierGAT,0.4007272727272734,0.46133702882484,0.1943154520917654,0.1828609986504723,0.47893569844789363,0.4545454545454546,0.944954128440367,0.9038461538461539,0.9824561403508771,0.88,0.7058823529411765,0.9696969696969697,0.15114709851551955,0.4107538802660754,0.38636363636363635,0.8899082568807339,0.8653846153846154,0.9122807017543859,0.7272727272727273,0.5333333333333333,0.8275862068965517,0.977416440831075,0.9866962305986696,0.9939024390243903,0.007206208425720728
Fodors-Zagat,HierGAT,0.04115789473684222,0.04120169035728017,0.02595979020978978,0.02447552447552448,0.052631578947368474,0.052631578947368474,0.9947089947089947,1.0,0.9935897435897436,0.9767441860465116,1.0,0.972972972972973,0.018065268065268064,0.10526315789473684,0.10526315789473684,0.9894179894179894,1.0,0.9871794871794872,0.9523809523809523,1.0,0.9444444444444444,1.0,1.0,1.0,0.0
Walmart-Amazon,HierGAT,0.14637612387612292,0.13453933584021238,0.02587665757942911,0.02599959612277867,0.15568694519795379,0.1688311688311689,0.9629087359687653,0.953125,0.9639203015616586,0.7816091954022989,0.5714285714285714,0.7951070336391437,0.028877221324717282,0.12409602601570946,0.13036963036963045,0.9638848218643241,0.9635416666666666,0.9639203015616586,0.7771084337349398,0.631578947368421,0.7859424920127795,0.9600204350544934,0.9316926167754896,0.9623158930621617,0.030623276286672052
