left,right,label,score
global-software-publishing,microsoft software,0.0,0.0
the-learning-company,adobe,0.0,0.0
,topics entertainment,0.0,0.0
,me-too-software,0.0,0.0
,adobe,0.0,0.0
,topics entertainment,0.0,0.0
aspyr media,adobe,0.0,0.0
,microsoft licenses,0.0,0.0
,microsoft,0.0,0.0
,steinberg,0.0,0.0
,intuit,0.0,0.0
,microsoft,0.0,0.0
mediafour corporation,intuit,0.0,0.0
,microsoft,0.0,0.0
riverdeep-learning-company,steinberg,0.0,0.0
fogware publishing,microsoft,0.0,0.0
,nolo press,0.0,0.0
,apple,0.0,0.0
,adobe,0.0,0.0
,microsoft,0.0,0.0
lotus development corp,adobe,0.0,0.0
encore software,adobe,0.0,0.0
,punch ! software,0.0,0.0
h & r block,aspyr media,1.0,0.0
,microsoft,0.0,0.0
,final draft,1.0,0.0
corel,punch ! software,0.0,0.0
,sony-pictures-digital-entertainment,0.0,0.0
microspot ltd.,adobe,1.0,0.0
intuit,phantom efx,0.0,0.0
,panda software,0.0,0.0
,microsoft,0.0,0.0
,microsoft,0.0,0.0
,microsoft,0.0,0.0
,topics entertainment,1.0,1.0
global-software-publishing,topics entertainment,0.0,0.0
,microsoft,0.0,0.0
,microsoft software,0.0,0.0
encore software,microsoft,0.0,0.0
,macsoft,0.0,0.0
,hewlett-packard - ( consumables ),0.0,0.0
,punch ! software,1.0,0.0
,punch ! software,0.0,0.0
adobe,adobe,0.0,0.0
zone labs,intuit,0.0,0.0
,adobe,0.0,0.0
,global-software-publishing,1.0,1.0
,apple,0.0,0.0
imsi,topics entertainment,0.0,0.0
,fogware publishing,0.0,0.0
,microsoft,0.0,0.0
global marketing partners,makemusic !,0.0,0.0
aspyr media,sibelius-software-ltd .,0.0,0.0
symantec,adobe,0.0,0.0
adobe,imsi design,0.0,0.0
brighter-minds-media-inc .,encore software,0.0,0.0
topics entertainment,adobe,0.0,0.0
,broderbund,0.0,0.0
,encore,0.0,0.0
,microsoft,0.0,0.0
fogware publishing,microsoft,0.0,0.0
dantz,corel,0.0,1.0
tri synergy,adobe,0.0,0.0
avanquest publishing usa inc.,microspot ltd.,0.0,0.0
,victory multimedia,0.0,0.0
microspot ltd.,adobe,0.0,0.0
topware interactive,adobe,1.0,0.0
aspyr media,intuit,1.0,0.0
,adobe,0.0,0.0
,encore software,1.0,0.0
stomp inc,microsoft software,0.0,0.0
adobe,adobe,0.0,0.0
,adobe,0.0,0.0
,sonic systems inc. .,0.0,0.0
encore,adobe,0.0,0.0
,topics entertainment,0.0,0.0
,nova development,0.0,0.0
csdc,microsoft,0.0,0.0
adobe,adobe,0.0,0.0
,encore software,0.0,0.0
,marware,0.0,0.0
,topics entertainment,0.0,0.0
global-marketing-partners,sage software,0.0,0.0
,intego inc,0.0,0.0
,encore software,0.0,0.0
,global-software-publishing,0.0,0.0
,microsoft,0.0,0.0
,microsoft,0.0,0.0
steinberg ( yamaha ),adobe,0.0,0.0
,adobe,0.0,0.0
,topics entertainment,0.0,0.0
encore software,micromat,0.0,0.0
dreamcatcher interactive,adobe,0.0,0.0
,topics entertainment,0.0,0.0
,adobe,0.0,0.0
global-marketing-partners,adobe,0.0,0.0
encore,microsoft corporation,0.0,0.0
watchguard technologies inc,adobe,0.0,0.0
,microsoft,0.0,0.0
mariner software,nova development,0.0,0.0
topics entertainment,adobe systems inc,0.0,0.0
nuance-communications-inc .,iplaymusic,1.0,0.0
,adobe,0.0,0.0
