left,right,label,score
Nerdy Girl,Bulleit Bourbon Barrel Aged GKnight,0.0,0.0
Rag Top Red Ale,Double Dragon Imperial Red Ale,0.0,0.0
Maelstrom Red,Honey Basil Amber,1.0,0.0
La Rousse Du Malbord,Clifford s Big Red Ale,0.0,0.0
Trois De Pique,Real McCoy Amber Ale,1.0,1.0
Faction Red,Aqula American Amber Ale,0.0,0.0
Red Nectar,Rocket City Red,0.0,0.0
Hop Bet Red Ale,Jazz Beer Tarraco Amber,1.0,1.0
Grendel s Ale,Twisted Stick Amber Ale,0.0,0.0
Howler Red Ale,Red Hopper ( Imperial Red Ale ),0.0,0.0
Keep On Truckin  Red IPA,Clifford s Big Red Ale,0.0,0.0
Portsmouth Hop Harvest # 1,Red Racer India Style Red Ale,0.0,0.0
Dry Hop Red,Green Flash Hop Head Red Ale,0.0,0.0
Kozmonaut,Pike Old Bawdy Barley Wine,0.0,0.0
Ruder Boy ( Aged In Bourbon Barrels ),Three Sheets Barleywine ( Syrah Barrel Aged ),0.0,0.0
McNeill s Firehouse Amber Ale,Red Rock Opie Red Ale,0.0,0.0
Angler s Amber,Ruby Red American Ale,0.0,0.0
Strada S. Felice,Ruby Red American Ale,0.0,0.0
Roedy _ ™ s Red,Rock Bottom Red Ale,0.0,0.0
Drop Top Amber,Hop Around Imperial Red Ale,0.0,0.0
1903 Red Ale,Blue Bridge Amber Dry Hopped,0.0,0.0
Scottish Red,Arrow Point Amber,1.0,1.0
Fullers Traitors  Gate,Bourbon Barrel Aged Horus Imperial Red,0.0,0.0
Deliberation Amber,Lavery Imperial Red Ale,0.0,0.0
Holy Crap ! ( Batch # 2 ),Smuttynose Kindest Find Imperial Red Ale,0.0,0.0
King Crimson,Brewmaster s Reserve Imperial Red Ale,0.0,0.0
Sabre-Toothed Squirrel,Good Medicine Strong Red Ale,0.0,0.0
Blame Canada,Tongue Buckler - Imperial Red Ale,0.0,0.0
King Crimson,Smuttynose Kindest Find Imperial Red Ale,0.0,0.0
Old Madrona,Amber Waves Ale,1.0,0.0
Faction Red,Honey Amber Ale,0.0,0.0
Rag Top Red Ale,Batch 200 _  Olympus Mons Imperial Red Ale,0.0,0.0
Little Tenderness,Rocky Point Red Ale,0.0,0.0
Holy Crap ! ( Batch # 2 ),Red Shedman s Imperial Amber Ale,0.0,0.0
Pecan Piewhole,Big Red Ale,0.0,0.0
Red Headed Stranger,Alexander Keith s Red Amber Ale,0.0,0.0
Prime Ale,Brass Ale Honey Amber,0.0,0.0
Arlington Amber Ale,Tongue Buckler ( Bourbon Barrel Aged ),0.0,0.0
Fire Chief s Red Ale,Main Street Amber Ale,0.0,0.0
Happy Days,Inception Series - Runnin  With The Devil,0.0,0.0
Copperline Amber Ale,Sanibel Red Island Ale,0.0,0.0
Broad River Red Ale,Red Rocket Amber Ale,1.0,1.0
Howler Red Ale,Smuttynose Kindest Find Imperial Red Ale,0.0,0.0
Pride Red,Three Beavers Imperial Red Ale,0.0,0.0
Big River Red Ale,Elevator Barrel Aged Barley Wine ( Bar Bar ),0.0,0.0
Milly s Tasha s Red Tail Ale,Hop Around Imperial Red Ale,0.0,0.0
Rusty Red,Bushfire American Red,1.0,0.0
Richter s Revenge,Bourbon Barrel Aged Horus Imperial Red,0.0,0.0
LAviateur,Buffalo Soul Jah Imperial Red Ale,0.0,0.0
10 Guilder,Red Headed Slut Amber Ale,0.0,0.0
Red Hill Red Ale,Sierra Amber Ale,0.0,0.0
Sweet Biscuit Amber Ale,Buck And Ball Double Amber Ale,0.0,0.0
Rock Candy Red,Tongue Buckler - Imperial Red Ale,0.0,0.0
Her Name Was Amber Ale,Green Lakes Organic Ale,0.0,1.0
Oak Aged Imperial Red ( Venture Series ),Starlord s Mixtape / Groot Drank Imperial Red Ale,0.0,0.0
Imperial Moustache Red Ale,Red Racer India Style Red Ale,0.0,0.0
House Dressing,Rabbit Mountain Red Ale,0.0,0.0
Accommodation Amber,Easy Amber Ale,0.0,0.0
Blue Moon Valencia Amber Ale,Legends Of The Bay Giant s Tomb,1.0,0.0
Blazing Amber,Barrel Aged Imperial Red,0.0,0.0
Rustic Red Ale,Red Rocket Amber Ale,0.0,0.0
Keystone V9,Red Hopper ( Imperial Red Ale ),0.0,0.0
The Spirit Of The 90 s ( 2015 Symposium Ale ),Lower De Boom Barleywine,0.0,1.0
Pamlico Amber,Ulysses Imperial Red Ale,0.0,0.0
Victory Red,Amber Ale With Spanish Orange,0.0,0.0
Revel Red,Starlord s Mixtape / Groot Drank Imperial Red Ale,0.0,0.0
Obed s Pride Amber Ale,Brew Kahuna NW Red Ale,0.0,0.0
Mare Nostrum Prestige,Willoughby American Amber Ale,1.0,1.0
Forty-Niner Amber Ale,Frost Quake Bourbon Barrel Aged Barley Wine,0.0,0.0
Rabbit Ears Amber Ale,Ambleside Amber Ale,0.0,1.0
Little Red Ryeding Hood,Lavery Imperial Red Ale,0.0,0.0
Miner s Red,Mountain City Amber Ale,0.0,0.0
Little Red Ryeding Hood,Sledgehammer Imperial Red Ale,0.0,0.0
Hornstull Honey Amber,Imperial Red Ale ( Spring Seasonal ),0.0,0.0
Obed s Pride Amber Ale,Old Guardian Barley Wine Style Ale - Red Wine Barrel Aged,0.0,0.0
Freetail Original,Heatwave Red Ale,1.0,0.0
Chill Session - Session Ale,Unite Red Rye Ale,0.0,0.0
Northampton Clifford,Red Dread Imperial Red Ale,0.0,0.0
Dora Drawdy Drool,Barrel Aged Imperial Red,0.0,0.0
Blood On The Blade Red IPA,Red Toad Amber Ale,0.0,0.0
The Ahwahnee,Red Dirt Imperial Red Ale,0.0,0.0
Downpour,Red Fox Amber Ale,0.0,0.0
Keystone V9,BJ s Imperial Red Ale,0.0,0.0
Devil s Backbone,Mount Washington Organic Amber Ale,0.0,0.0
Sleeman Original Dark ( 50 * ),Imperial Moustache Red Ale,0.0,0.0
IRA ( India Red Ale ),Green Flash Hop Head Red Ale,0.0,0.0
Blue Moon Rising Moon Spring Ale,Mountain City Amber Ale,0.0,0.0
Schwag,Thomas Hooker Old Marley Barleywine,1.0,1.0
Pennywise Sweet Tater Ale,Centurion Barleywine Ale,1.0,1.0
Lil Red,Red Ale Priprioca,1.0,0.0
Ridgeback Red,Big Red Balls,1.0,1.0
