left,right,label,score
"david buttler , wei tang , calton pu , wei han , ling liu","binto george , jayant r. haritsa",0.0,0.0
frank leymann,"michalis vazirgiannis , maria halkidi , yannis batistakis",0.0,1.0
"sangyong hwang , kihong kim , sang kyun cha , keunjoo kwon","gerd g. hillebrand , peter buneman , susan b. davidson , dan suciu",0.0,0.0
"georg gottlob , robert baumgartner , sergio flesca","richard hull , mohammed rupawalla , michael doherty",0.0,0.0
anil nori,"jurgen annevelink , tak w. yan",0.0,0.0
"kenneth j. goldman , nancy a. lynch","raymond t. ng , divesh srivastava , h. v. jagadish , olga kapitskaia",0.0,0.0
"michael stonebraker , nesime tatbul , mitch cherniack , stanley b. zdonik , ugur çetintemel","binto george , jayant r. haritsa",0.0,0.0
"matthias klusch , katia p. sycara , seth widoff , jianguo lu","zhao-hui tang , jean-robert gruser , georges gardarin",0.0,0.0
"dennis shasha , yunyue zhu","shaoyu zhou , m. seetha lakshmi",0.0,0.0
soumen chakrabarti,"roberta cochrane , hamid pirahesh , nelson mendonça mattos",0.0,0.0
"maurício r. mediano , marcelo dreux , marco a. casanova","michel tourn , man abrol , john wang , grace zhang , jianchang mao , uma mahadevan , rajat mukherjee , prabhakar raghavan , neil latarche",1.0,1.0
"yirong xu , ramakrishnan srikant , rakesh agrawal","v. s. subrahmanian , eric lemar , k. selçuk candan",0.0,0.0
"tapas kanungo , frederick reiss","kinji ono , jihad boulos",0.0,0.0
karl aberer,"gerome miklau , jayant madhavan , igor tatarinov , zachary g. ives , xin dong , yana kadiyska , alon y. halevy , nilesh n. dalvi , dan suciu , peter mork",1.0,1.0
"michael j. franklin , mehmet altinel","surajit chaudhuri , sanjay agrawal , vivek r. narasayya",1.0,1.0
"balakrishna r. iyer , jeffrey scott vitter , p. krishnan","tobias mayr , thorsten von eicken , michael w. godfrey , praveen seshadri",0.0,0.0
"henrique madeira , marco vieira","reagan moore , arun jagatheesan , paul watson , norman w. paton",0.0,0.0
"ioana manolescu , stefano ceri","robert marek , erhard rahm",0.0,0.0
"benny souder , bob jenkins , lip boon doo , peter lim , gordon smith , dean daniels , curtis elsbernd , gary hallmark , alan downing , jim stamos , sandeep jain","barbara liskov , umesh maheshwari",0.0,0.0
"eric simon , angelika kotz dittrich",richard t. snodgrass,0.0,0.0
"sophie cluet , michel scholl , serge abiteboul , vassilis christophides","arvind rajendran , david maier , leonidas fegaras , chandrasekhar srinivasan",0.0,0.0
"jussi myllymaki , shilpa lawande , donko donjerkovic , raghu ramakrishnan , guangshun chen , kevin s. beyer , miron livny , r. kent wenger","donovan a. schneider , marie-anne neimat , witold litwin",1.0,1.0
"demet aksoy , mehmet altinel , stanley b. zdonik , thomas baby , william shapiro , michael j. franklin","mathias weske , gottfried vossen",0.0,0.0
"ning an , siva ravada , kothuri venkata ravi kanth","c. mohan , inderpal narang",1.0,1.0
"rajeev motwani , serge abiteboul , svetlozar nestorov",sergio greco,1.0,1.0
"alexander hinneburg , daniel a. keim","ulrich güntzer , werner kießling , wolf-tilo balke",0.0,0.0
"rafael alonso , yuh-lin chang , v. s. mani , liviu iftode","v. tucakov , raymond t. ng , edwin m. knorr",0.0,0.0
"sihem amer-yahia , divesh srivastava , sungran cho , laks v. s. lakshmanan","amit p. sheth , vipul kashyap , satish thatte , leon a. shklar",1.0,1.0
