left,right,label,score
0,Inf. Sci.,0.0,0.0
Journal of Chemical Information and Computer Sciences,0,0.0,0.0
Machine Learning,Neural Computation,0.0,0.0
Online Information Review,Inf. Sci.,0.0,0.0
0,0,1.0,1.0
0,Inf. Syst.,0.0,0.0
0,0,0.0,0.0
0,Journal of Chemical Information and Computer Sciences,0.0,0.0
0,LLC,0.0,0.0
0,{ACM} Trans. Database Syst.,1.0,1.0
0,0,0.0,0.0
0,Statistics and Computing,0.0,0.0
0,Journal of Chemical Information and Computer Sciences,0.0,0.0
International Journal of Geographical Information Science,0,0.0,0.0
0,0,1.0,1.0
Journal of Chemical Information and Computer Sciences,J. Artif. Intell. Res. {(JAIR)},0.0,0.0
0,Int. J. Machine Learning {\\&} Cybernetics,0.0,0.0
0,Machine Learning,0.0,0.0
Journal of Chemical Information and Computer Sciences,Frontiers of Computer Science in China,1.0,1.0
0,0,0.0,0.0
0,0,0.0,0.0
CoRR,0,0.0,0.0
0,0,0.0,0.0
0,0,0.0,0.0
0,Bioinformatics,1.0,1.0
0,0,0.0,0.0
0,{IEEE} Trans. Knowl. Data Eng.,0.0,0.0
0,0,0.0,1.0
CoRR,0,1.0,1.0
0,0,0.0,0.0
CoRR,0,1.0,1.0
0,0,0.0,0.0
0,CoRR,0.0,0.0
0,0,0.0,0.0
Journal of Chemical Information and Computer Sciences,World Wide Web,0.0,0.0
CoRR,{IEEE} Trans. Knowl. Data Eng.,0.0,0.0
0,{IEEE} Trans. Knowl. Data Eng.,0.0,0.0
0,0,0.0,0.0
0,0,1.0,1.0
{IEEE} Data Eng. Bull.,0,0.0,0.0
0,0,0.0,0.0
{VLDB} J.,0,0.0,0.0
Cognitive Science,Journal of Chemical Information and Computer Sciences,0.0,0.0
0,{IEEE} Transactions on Signal Processing,0.0,0.0
0,0,0.0,0.0
PVLDB,CoRR,0.0,0.0
CoRR,Inf. Syst.,0.0,0.0
0,PVLDB,0.0,0.0
0,0,1.0,1.0
0,0,0.0,0.0
0,0,0.0,0.0
0,0,0.0,0.0
0,Data Science Journal,0.0,0.0
International Journal of Geographical Information Science,Journal of Chemical Information and Computer Sciences,0.0,0.0
0,0,0.0,0.0
0,0,0.0,0.0
0,0,1.0,1.0
0,0,0.0,0.0
0,0,0.0,0.0
IJIIP,0,0.0,0.0
0,0,1.0,1.0
J. Computational Applied Mathematics,Decision Sciences,0.0,0.0
0,Comput. J.,0.0,0.0
0,0,0.0,1.0
0,0,0.0,0.0
0,0,0.0,0.0
0,0,0.0,0.0
0,0,0.0,0.0
0,0,1.0,1.0
0,Comp. in Bio. and Med.,0.0,0.0
0,0,0.0,0.0
0,0,1.0,1.0
Neural Computation,0,1.0,1.0
0,0,1.0,1.0
Machine Learning,CoRR,0.0,0.0
0,0,0.0,0.0
0,0,0.0,0.0
PLoS Computational Biology,0,0.0,1.0
Computers {\\&} Education,0,0.0,0.0
0,0,0.0,0.0
0,Neural Computation,0.0,0.0
0,CoRR,1.0,1.0
0,CoRR,0.0,0.0
0,0,1.0,1.0
0,0,1.0,1.0
0,PVLDB,0.0,0.0
Int. J. Systems Science,0,0.0,0.0
Signal Processing,0,0.0,0.0
Bioinformatics,0,0.0,0.0
J. Grid Comput.,0,0.0,1.0
Machine Learning,0,0.0,0.0
0,0,0.0,0.0
0,0,0.0,0.0
0,CoRR,0.0,0.0
0,PVLDB,1.0,1.0
Journal of Chemical Information and Computer Sciences,Journal of Chemical Information and Computer Sciences,0.0,0.0
0,0,0.0,0.0
CoRR,0,0.0,0.0
0,0,0.0,0.0
Machine Learning,International Journal of Geographical Information Science,0.0,0.0
