left,right,label,score
electronics - general,usb drives,0.0,0.0
,electronics - general,0.0,0.0
,electronics - general,0.0,0.0
,electronics - general,0.0,0.0
,usb drives,0.0,0.0
,hard drives,0.0,0.0
,electronics - general,0.0,0.0
,stationery & office machinery,1.0,0.0
,printers,0.0,0.0
,printers,1.0,1.0
,car stereos,0.0,0.0
,electronics - general,0.0,0.0
,mp3 accessories,0.0,0.0
,networking,1.0,1.0
,electronics - general,0.0,0.0
,electronics - general,0.0,0.0
,electronics - general,0.0,0.0
electronics - general,networking,0.0,0.0
,electronics - general,0.0,0.0
electronics - general,printers,0.0,0.0
,tv accessories,0.0,0.0
mp3 accessories,hard drives,0.0,0.0
software,mp3 accessories,1.0,1.0
,electronics - general,0.0,0.0
electronics - general,electronics - general,0.0,0.0
,electronics - general,0.0,0.0
,car stereos,0.0,0.0
,stationery & office machinery,0.0,0.0
,electronics - general,0.0,0.0
,electronics - general,0.0,0.0
,stationery & office machinery,0.0,0.0
car stereos,printers,0.0,0.0
,electronics - general,0.0,0.0
mice,usb drives,0.0,0.0
,usb drives,0.0,0.0
,stationery & office machinery,0.0,0.0
,electronics - general,0.0,0.0
,electronics - general,0.0,0.0
,printers,0.0,0.0
,electronics - general,0.0,0.0
,electronics - general,0.0,0.0
,electronics - general,0.0,0.0
,tv accessories,1.0,0.0
,electronics - general,0.0,0.0
,hard drives,0.0,0.0
,tv accessories,0.0,0.0
,digital cameras,0.0,0.0
,memory,0.0,0.0
,stationery & office machinery,0.0,0.0
electronics - general,car stereos,0.0,0.0
,monitors,0.0,0.0
,electronics - general,0.0,0.0
,stationery & office machinery,0.0,0.0
,car stereos,0.0,0.0
,electronics - general,0.0,0.0
,electronics - general,0.0,0.0
,software,0.0,0.0
,electronics - general,0.0,0.0
,stationery & office machinery,0.0,0.0
,electronics - general,0.0,0.0
,mp3 accessories,0.0,0.0
,electronics - general,0.0,0.0
,electronics - general,0.0,0.0
,printers,0.0,0.0
,electronics - general,0.0,0.0
electronics - general,electronics - general,0.0,0.0
,stationery & office machinery,0.0,0.0
,electronics - general,0.0,0.0
,electronics - general,0.0,0.0
,printers,0.0,0.0
,electronics - general,0.0,0.0
electronics - general,printers,0.0,0.0
