left,right,label,score
global-software-publishing,microsoft software,0.0,0.0012061829486036636
the-learning-company,adobe,0.0,0.0022747810690462076
,topics entertainment,0.0,0.027829459846527134
,me-too-software,0.0,0.040656338560427684
,adobe,0.0,0.005002739848114742
,topics entertainment,0.0,0.041178106229522025
aspyr media,adobe,0.0,0.011009006854120366
,microsoft licenses,0.0,0.029143892550045042
,microsoft,0.0,0.18952462636072018
,steinberg,0.0,0.0033860970239636724
,intuit,0.0,0.005785127606962432
,microsoft,0.0,0.014863695162144992
mediafour corporation,intuit,0.0,0.016827946555955698
,microsoft,0.0,0.0042140111643879435
riverdeep-learning-company,steinberg,0.0,0.00250047955530313
fogware publishing,microsoft,0.0,0.01506732591656423
,nolo press,0.0,0.2701111428747941
,apple,0.0,0.002802995152806385
,adobe,0.0,0.03193681977037045
,microsoft,0.0,0.006052093568677783
lotus development corp,adobe,0.0,0.0053238983605251615
encore software,adobe,0.0,0.4187338365990931
,punch ! software,0.0,0.0005066430332624937
h & r block,aspyr media,1.0,0.7549000121755474
,microsoft,0.0,0.0015592050434534619
,final draft,1.0,0.38491656832887217
corel,punch ! software,0.0,0.04163143636472582
,sony-pictures-digital-entertainment,0.0,0.0016943910326636215
microspot ltd.,adobe,1.0,0.5052957933906059
intuit,phantom efx,0.0,0.30599037132197826
,panda software,0.0,0.24380093923444965
,microsoft,0.0,0.008353315300637359
,microsoft,0.0,0.04074262418278623
,microsoft,0.0,0.0372415529873542
,topics entertainment,1.0,0.9282139669940339
global-software-publishing,topics entertainment,0.0,0.06670220227425434
,microsoft,0.0,0.005904301879201825
,microsoft software,0.0,0.0027563195269344463
encore software,microsoft,0.0,0.01730338007783491
,macsoft,0.0,0.021098995754310037
,hewlett-packard - ( consumables ),0.0,0.0016404550856225723
,punch ! software,1.0,0.6231863082145279
,punch ! software,0.0,0.015485751948166813
adobe,adobe,0.0,0.035144086587609306
zone labs,intuit,0.0,0.0031498536954253083
,adobe,0.0,0.034829166468041906
,global-software-publishing,1.0,0.924620060632341
,apple,0.0,0.07378059949984725
imsi,topics entertainment,0.0,0.0020653955234959925
,fogware publishing,0.0,0.17902811094599225
,microsoft,0.0,0.0027292526458348155
