left,right,label,score
"david buttler , wei tang , calton pu , wei han , ling liu","binto george , jayant r. haritsa",0.0,2.650460359398204e-07
frank leymann,"michalis vazirgiannis , maria halkidi , yannis batistakis",0.0,0.795675334545365
"sangyong hwang , kihong kim , sang kyun cha , keunjoo kwon","gerd g. hillebrand , peter buneman , susan b. davidson , dan suciu",0.0,0.007506176622768285
"georg gottlob , robert baumgartner , sergio flesca","richard hull , mohammed rupawalla , michael doherty",0.0,4.31350861848741e-06
anil nori,"jurgen annevelink , tak w. yan",0.0,4.731635786966152e-06
"kenneth j. goldman , nancy a. lynch","raymond t. ng , divesh srivastava , h. v. jagadish , olga kapitskaia",0.0,1.297326842553167e-05
"michael stonebraker , nesime tatbul , mitch cherniack , stanley b. zdonik , ugur çetintemel","binto george , jayant r. haritsa",0.0,5.35721942686124e-06
"matthias klusch , katia p. sycara , seth widoff , jianguo lu","zhao-hui tang , jean-robert gruser , georges gardarin",0.0,6.343518325174224e-06
"dennis shasha , yunyue zhu","shaoyu zhou , m. seetha lakshmi",0.0,1.2326092131093214e-05
soumen chakrabarti,"roberta cochrane , hamid pirahesh , nelson mendonça mattos",0.0,7.217586865190538e-06
"maurício r. mediano , marcelo dreux , marco a. casanova","michel tourn , man abrol , john wang , grace zhang , jianchang mao , uma mahadevan , rajat mukherjee , prabhakar raghavan , neil latarche",1.0,0.9908618340530578
"yirong xu , ramakrishnan srikant , rakesh agrawal","v. s. subrahmanian , eric lemar , k. selçuk candan",0.0,5.893821144716554e-10
"tapas kanungo , frederick reiss","kinji ono , jihad boulos",0.0,3.59625967812839e-10
karl aberer,"gerome miklau , jayant madhavan , igor tatarinov , zachary g. ives , xin dong , yana kadiyska , alon y. halevy , nilesh n. dalvi , dan suciu , peter mork",1.0,0.9831485456021201
"michael j. franklin , mehmet altinel","surajit chaudhuri , sanjay agrawal , vivek r. narasayya",1.0,0.9910437428745682
"balakrishna r. iyer , jeffrey scott vitter , p. krishnan","tobias mayr , thorsten von eicken , michael w. godfrey , praveen seshadri",0.0,1.3566329360449208e-06
"henrique madeira , marco vieira","reagan moore , arun jagatheesan , paul watson , norman w. paton",0.0,1.3914134918278915e-10
"ioana manolescu , stefano ceri","robert marek , erhard rahm",0.0,3.473281530805851e-05
"benny souder , bob jenkins , lip boon doo , peter lim , gordon smith , dean daniels , curtis elsbernd , gary hallmark , alan downing , jim stamos , sandeep jain","barbara liskov , umesh maheshwari",0.0,1.8329304896867784e-05
"eric simon , angelika kotz dittrich",richard t. snodgrass,0.0,0.00097119216055002
"sophie cluet , michel scholl , serge abiteboul , vassilis christophides","arvind rajendran , david maier , leonidas fegaras , chandrasekhar srinivasan",0.0,2.9049119612241807e-10
"jussi myllymaki , shilpa lawande , donko donjerkovic , raghu ramakrishnan , guangshun chen , kevin s. beyer , miron livny , r. kent wenger","donovan a. schneider , marie-anne neimat , witold litwin",1.0,0.9821143505372398
"demet aksoy , mehmet altinel , stanley b. zdonik , thomas baby , william shapiro , michael j. franklin","mathias weske , gottfried vossen",0.0,1.2591551448987106e-05
"ning an , siva ravada , kothuri venkata ravi kanth","c. mohan , inderpal narang",1.0,0.985385618865457
"rajeev motwani , serge abiteboul , svetlozar nestorov",sergio greco,1.0,0.9851617337187705
"alexander hinneburg , daniel a. keim","ulrich güntzer , werner kießling , wolf-tilo balke",0.0,1.5774354006207356e-10
"rafael alonso , yuh-lin chang , v. s. mani , liviu iftode","v. tucakov , raymond t. ng , edwin m. knorr",0.0,2.9811585159622304e-09
"sihem amer-yahia , divesh srivastava , sungran cho , laks v. s. lakshmanan","amit p. sheth , vipul kashyap , satish thatte , leon a. shklar",1.0,0.9790515842836415
per-åke larson,"janet l. wiener , jason mchugh , serge abiteboul , qingshan luo , anand rajaraman , dallan quass , jeffrey d. ullman , roy goldman , hugo rivero , jennifer widom , svetlozar nestorov , kevin haas",0.0,2.240557514243271e-06
curtis e. dyreson,"andrew eisenberg , jim melton",1.0,0.9854441153704381
"philip a. bernstein , erhard rahm","joakim eriksson , jonas mellin , sten andler , mikael berndtsson , bengt eftring , jörgen hansson",0.0,1.08489949223823e-09
m. tamer özsu,"charu c. aggarwal , philip s. yu",0.0,7.140952987603003e-06
"sunil prabhakar , radu sion , mikhail j. atallah",joseph fong,1.0,0.9854652040580236
"martin theobald , sergej sizov , jens graupmann","mike p. papazoglou , bernd j. krämer",0.0,3.3326812260909092e-06
"louiqa raschid , laura bright","peter m. g. apers , stefano ceri , richard t. snodgrass",0.0,4.424735856856248e-05
paradise team,"jeffrey f. naughton , stratis viglas",0.0,3.0512482829943376e-06
"alexei p. stolboushkin , michael a. taitslin","christian s. jensen , kristian torp , richard t. snodgrass",0.0,0.0029246240310659612
karl aberer,"guozhu dong , jian pei , jiawei han , ke wang",0.0,1.6847249515921023e-10
"fabien de marchi , jean-marc petit , farouk toumani , stéphane lopes","michael eitan , valerie gregg , carlo batini , d. b. phatak , yeha el atfi , krithi ramamritham",1.0,0.9900329568700571
"terence critchlow , matthew coleman , david buttler , wei han , daniel rocco , li xiong , ling liu , calton pu , renato fileto",luca cardelli,0.0,0.007521153780376765
rafael alonso,"per-åke larson , jingren zhou , jonathan goldstein",1.0,0.9699534538413069
"dennis shasha , philippe bonnet",özgür ulusoy,0.0,0.0029915391298749724
"anthony tomasic , eric simon",bruce e. martin,1.0,0.9837945019370408
"laurent mignet , serge abiteboul , tova milo , adi eyal , bernd amann , sophie cluet","henry f. korth , jerry baulier , abraham silberschatz , stephen blott",0.0,3.638625101547999e-10
"claude delobel , sophie cluet , sihem amer-yahia",anant jhingran,1.0,0.9852297237697318
"karl aberer , xiaoya yang , klemens böhm , erich j. neuhold","malcolm p. atkinson , ronald morrison",0.0,5.254583181236851e-06
"hector garcia-molina , sergey brin , james davis","xiaowei xu , michael wimmer , jörg sander , martin ester , hans-peter kriegel",0.0,8.99291105683005e-06
"steffen staab , rudi studer , york sure",donald d. chamberlin,0.0,0.006067999727473016
"jiawei han , liangyou chen , jian pei , ying lu , yaqin liao , hasan m. jamil","ioana manolescu , donald kossmann , daniela florescu",0.0,2.6702511410106536e-10
"stefano ceri , stefano paraboschi , angela bonifati","ilker durusoy , cetin ozkan , mehmet altinel , asuman dogac",0.0,4.01237078316602e-06
michael j. franklin,ming-chuan wu,0.0,4.949221013732408e-06
"peter j. barclay , kenneth j. mitchell , jessie b. kennedy","roberta cochrane , hamid pirahesh , nelson mendonça mattos",0.0,2.6736029202916994e-10
"s. muthukrishnan , flip korn","king-ip lin , harpreet s. sawhney , rakesh agrawal , kyuseok shim",0.0,1.0076394966183975e-05
kjetil nørvåg,"fereidoon sadri , laks v. s. lakshmanan , iyer n. subramanian",0.0,1.1380071732360963e-05
richard t. snodgrass,"julia e. hodges , shekar ramanathan",0.0,1.4328107221071528e-05
"alexander aiken , daniel shawcross wilkerson , saul schleimer","young-gook ra , viviane crestana-taube , matthew c. jones , elke a. rundensteiner , pedro josé marrón , harumi a. kuno",0.0,2.110833040777587e-10
"vivek r. narasayya , sanjay agrawal , surajit chaudhuri","ada wai-chee fu , man hon wong , chan man kuok",0.0,1.2427838198439542e-05
gary hallmark,"zhao-hui tang , fei sha , georges gardarin",0.0,1.3092272992704616e-05
xiaolei qian,"eric simon , esther pacitti",0.0,0.00640129253323976
asuman dogac,"suresha , kaushik dutta , krithi ramamritham , anindya datta , helen m. thomas , debra e. vandermeer",1.0,0.985390716964424
"jian pei , guozhu dong , ke wang , jiawei han , jianyong wang","rajeev motwani , serge abiteboul , svetlozar nestorov",0.0,0.006446969372923349
"hakan hacigümüs , chen li , sharad mehrotra , balakrishna r. iyer","shivakumar venkataraman , subbu n. subramanian",1.0,0.9833817887860637
