left,right,label,score
0,Inf. Sci.,0.0,7.865235993867304e-07
Journal of Chemical Information and Computer Sciences,0,0.0,1.0217134512892006e-12
Machine Learning,Neural Computation,0.0,1.2005326549185111e-08
Online Information Review,Inf. Sci.,0.0,1.3062282989269389e-08
0,0,1.0,0.980312822728987
0,Inf. Syst.,0.0,1.1534540039875222e-06
0,0,0.0,1.1158072183817905e-10
0,Journal of Chemical Information and Computer Sciences,0.0,3.3251386349353295e-08
0,LLC,0.0,1.5581332459644238e-07
0,{ACM} Trans. Database Syst.,1.0,0.9895505535703556
0,0,0.0,0.0014480217137142022
0,Statistics and Computing,0.0,2.013684399062131e-06
0,Journal of Chemical Information and Computer Sciences,0.0,4.092614680409167e-10
International Journal of Geographical Information Science,0,0.0,1.6397684649924142e-06
0,0,1.0,0.9732032479637318
Journal of Chemical Information and Computer Sciences,J. Artif. Intell. Res. {(JAIR)},0.0,4.331412116529452e-09
0,Int. J. Machine Learning {\\&} Cybernetics,0.0,1.3602632240466019e-11
0,Machine Learning,0.0,1.3257701072368144e-07
Journal of Chemical Information and Computer Sciences,Frontiers of Computer Science in China,1.0,0.9999084696059878
0,0,0.0,2.4828034261624195e-11
0,0,0.0,0.00010166681434081418
CoRR,0,0.0,0.0007702426707114747
0,0,0.0,2.7630398050570753e-08
0,0,0.0,4.02789152360537e-10
0,Bioinformatics,1.0,0.9957037871068194
0,0,0.0,1.2218292533274045e-07
0,{IEEE} Trans. Knowl. Data Eng.,0.0,2.094684383553411e-07
0,0,0.0,0.0020633003136189955
CoRR,0,1.0,0.9910540076991339
0,0,0.0,3.469747556816567e-08
CoRR,0,1.0,0.9461583244655752
0,0,0.0,0.3844718115951485
0,CoRR,0.0,5.40064203041642e-07
0,0,0.0,5.684682568809091e-07
Journal of Chemical Information and Computer Sciences,World Wide Web,0.0,7.351608446368628e-09
CoRR,{IEEE} Trans. Knowl. Data Eng.,0.0,1.3560260224050293e-08
0,{IEEE} Trans. Knowl. Data Eng.,0.0,1.2840845098662106e-08
0,0,0.0,3.500896997684718e-07
0,0,1.0,0.9923692144324656
{IEEE} Data Eng. Bull.,0,0.0,4.261498726123798e-09
0,0,0.0,0.018017426705031873
{VLDB} J.,0,0.0,7.018177873036699e-07
Cognitive Science,Journal of Chemical Information and Computer Sciences,0.0,2.3560307017536142e-08
0,{IEEE} Transactions on Signal Processing,0.0,5.064143206901047e-10
0,0,0.0,2.4866187104396424e-09
PVLDB,CoRR,0.0,5.807874836225594e-09
CoRR,Inf. Syst.,0.0,7.440845611175994e-09
0,PVLDB,0.0,1.1366773766010804e-06
0,0,1.0,0.9803603205130366
0,0,0.0,1.0634621764873322e-05
0,0,0.0,1.210109698059686e-07
0,0,0.0,1.5319062285736387e-05
0,Data Science Journal,0.0,4.028999941996093e-05
International Journal of Geographical Information Science,Journal of Chemical Information and Computer Sciences,0.0,1.708789591000021e-07
0,0,0.0,0.00042567340699448136
0,0,0.0,8.754353529419146e-06
0,0,1.0,0.39402547066389876
0,0,0.0,2.825487451672798e-06
0,0,0.0,0.002905674338475803
IJIIP,0,0.0,2.987430855876019e-07
0,0,1.0,0.984152952810543
J. Computational Applied Mathematics,Decision Sciences,0.0,1.8957798950520764e-08
0,Comput. J.,0.0,1.766565954232221e-07
0,0,0.0,1.8542358766186822e-09
0,0,0.0,0.00014344888618849326
0,0,0.0,6.829578729928178e-14
0,0,0.0,2.5568770258645158e-08
0,0,0.0,5.051304159483365e-09
0,0,1.0,0.9468453113131037
0,Comp. in Bio. and Med.,0.0,1.6063570112976993e-14
0,0,0.0,0.4649729171679245
0,0,1.0,0.9922905428771819
Neural Computation,0,1.0,0.971701557411623
0,0,1.0,0.9308511437791692
Machine Learning,CoRR,0.0,3.8845384356544953e-07
0,0,0.0,6.99616473788729e-11
0,0,0.0,0.3372398075496187
PLoS Computational Biology,0,0.0,0.04157120989843711
Computers {\\&} Education,0,0.0,1.0634534735469722e-05
0,0,0.0,6.094501662694923e-11
0,Neural Computation,0.0,2.2344170781123749e-07
0,CoRR,1.0,0.9156794466366112
0,CoRR,0.0,0.11286238843861919
0,0,1.0,0.9694630664860172
0,0,1.0,0.9928793075348331
0,PVLDB,0.0,8.972243678384272e-12
Int. J. Systems Science,0,0.0,8.046141217132884e-09
Signal Processing,0,0.0,0.005140133642372043
Bioinformatics,0,0.0,2.0076542515643167e-06
J. Grid Comput.,0,0.0,8.36976980417806e-11
Machine Learning,0,0.0,1.073542770036979e-05
0,0,0.0,5.1511002070137475e-06
0,0,0.0,2.9313761283870225e-08
0,CoRR,0.0,9.393967920594689e-05
0,PVLDB,1.0,0.9370765545634413
Journal of Chemical Information and Computer Sciences,Journal of Chemical Information and Computer Sciences,0.0,9.664289546867048e-08
0,0,0.0,7.939794864078034e-05
CoRR,0,0.0,7.966093475544893e-09
0,0,0.0,1.429998877377346e-07
Machine Learning,International Journal of Geographical Information Science,0.0,1.679289287341237e-12
