left,right,label,score
french,californian,0.0,0.0010628703249952662
french,asian,1.0,0.9906614226521039
italian,italian,0.0,0.00031835639884428334
american,american,1.0,0.9917039659475316
californian,continental,0.0,0.0001487006881790875
italian,continental,0.0,0.0003109109956296717
coffee bar,american,0.0,0.010712177708744337
american,asian,0.0,8.2698320968828e-06
american,asian,1.0,0.995748046198688
french,international,0.0,6.05132220752915e-05
french,italian,0.0,0.00013455650187174176
international,mexican,0.0,0.00317821306072865
coffee bar,southwestern,0.0,0.007995354428858648
american,health food,0.0,0.00010874071199735152
californian,buffets,0.0,0.00010236357541751521
ext 6108 international,french,0.0,0.00020668869560751482
asian,french,0.0,0.001647902677031862
coffee bar,coffee shops/diners,0.0,0.00016951860894324805
mexican,dive american,0.0,0.0010271200489890809
asian,continental,0.0,0.005138576175188299
coffee bar,french,0.0,0.002902313851619667
american,coffee shops/diners,0.0,9.490475286481573e-05
asian,caribbean,1.0,0.9997919145675332
american,seafood,0.0,0.0011618582239543787
french,italian,1.0,0.909365637515203
mediterranean,asian,0.0,7.362637721875451e-05
french,seafood,0.0,0.017127958034254657
coffee bar,steak houses,0.0,0.22187634702454512
middle eastern,continental,0.0,0.00014371780838095107
asian,coffee shops/diners,0.0,0.00017453843135854398
californian,coffee shops/diners,0.0,0.0005190797910365484
french,asian,0.0,3.443258084333656e-05
american,continental,0.0,7.733839132469927e-05
american,buffets,0.0,6.912020039186857e-05
italian,continental,0.0,0.006393428375403949
mexican,tel caribbean,1.0,0.9989945385005582
italian,french,0.0,0.00017039847111147456
american,caribbean,0.0,6.002642824694216e-06
italian,international,0.0,5.8021219877786e-05
coffee bar,asian,0.0,3.289259983786073e-05
latin american,asian,0.0,0.0002096705750827624
dive american,continental,0.0,0.00022702589065542314
italian,asian,0.0,5.091527435042207e-05
french,italian,0.0,1.323448745099812e-05
coffee bar,asian,0.0,0.0009504892691275002
middle eastern,continental,0.0,0.0024447376495664065
french,italian,0.0,0.004339792956858873
french,american,0.0,0.00011126761953392373
italian,steak houses,0.0,0.00010164874864487403
mediterranean,mexican,0.0,5.832807800820889e-05
american,american,0.0,0.0004177069230547766
american,american,0.0,0.0011644570481828785
dive american,steak houses,0.0,0.0005191905542406574
american,italian,0.0,0.00017035454024187945
asian,continental,0.0,0.00042280751125197037
american,southwestern,0.0,0.0017079275356843213
seafood,french,1.0,0.9982164788910239
american,seafood,1.0,0.9685027365093857
asian,italian,1.0,0.9986160373699763
american,delicatessen,1.0,0.9979532070597071
italian,american,0.0,0.0002665520576384793
asian,italian,0.0,4.709718128806362e-06
american,coffee shops/diners,0.0,0.001621370423081306
italian,mediterranean,0.0,0.0009314139024735378
american,international,1.0,0.9825836489511481
asian,asian,0.0,0.006514660313066813
american,american,0.0,0.002026836561280158
asian,continental,0.0,9.53223602605297e-05
american,coffee shops/diners,0.0,0.00014022500002260294
american,asian,0.0,0.0005079026444433378
asian,american,0.0,0.05888640687020191
french,californian,0.0,0.006799472844718863
american,seafood,0.0,0.001557999597303789
american,french,0.0,0.0027971744251456755
american,continental,1.0,0.9995627086575556
french,asian,1.0,0.8481367317027888
californian,asian,0.0,7.862880127818238e-05
american,continental,0.0,2.77127050749728e-05
