left,right,label,score
electronics - general,usb drives,0.0,0.0023204959677462574
,electronics - general,0.0,0.005331218088935773
,electronics - general,0.0,0.04418281882977595
,electronics - general,0.0,0.04839095848842456
,usb drives,0.0,0.05384132729341832
,hard drives,0.0,0.010276166132448564
,electronics - general,0.0,0.09138062366158231
,stationery & office machinery,1.0,0.03205714376475867
,printers,0.0,0.019472822288949795
,printers,1.0,0.9895783799899354
,car stereos,0.0,0.06770714677922206
,electronics - general,0.0,0.006166529928558028
,mp3 accessories,0.0,0.05020960032634044
,networking,1.0,0.9957402045588619
,electronics - general,0.0,0.0588253927208042
,electronics - general,0.0,0.08286203183452327
,electronics - general,0.0,0.1142910212834115
electronics - general,networking,0.0,0.011572454466774624
,electronics - general,0.0,0.045411768199958395
electronics - general,printers,0.0,0.030830646412469173
,tv accessories,0.0,0.03111246350029595
mp3 accessories,hard drives,0.0,0.39011747743610414
software,mp3 accessories,1.0,0.9283457481259356
,electronics - general,0.0,0.12791930288614445
electronics - general,electronics - general,0.0,0.04595915825385494
,electronics - general,0.0,0.013844403139967865
,car stereos,0.0,0.07788117332468204
,stationery & office machinery,0.0,0.1852711735648833
,electronics - general,0.0,0.02494615158844954
,electronics - general,0.0,0.06042775525535416
,stationery & office machinery,0.0,0.18863294060662067
car stereos,printers,0.0,0.01645075033752226
,electronics - general,0.0,0.09096047549334059
mice,usb drives,0.0,0.002183891512630326
,usb drives,0.0,0.08652456322166782
,stationery & office machinery,0.0,0.08952235648660685
,electronics - general,0.0,0.09852313539710496
,electronics - general,0.0,0.04288347814682
,printers,0.0,0.012814287897172087
,electronics - general,0.0,0.2862449346549351
,electronics - general,0.0,0.04251069200940966
,electronics - general,0.0,0.004277194889022262
,tv accessories,1.0,0.0616041210287394
,electronics - general,0.0,0.021219998607903297
,hard drives,0.0,0.0012075495367457334
,tv accessories,0.0,0.004511613813080755
,digital cameras,0.0,0.015952365926605667
,memory,0.0,0.006452272108217935
,stationery & office machinery,0.0,0.03399165453296981
electronics - general,car stereos,0.0,0.02078991020147605
,monitors,0.0,0.024845582440555753
,electronics - general,0.0,0.040699085397072655
