left,right,label,score
,"Hip-Hop/Rap , Music , Dirty South",0.0,0.00888148791574773
,"Soundtrack , Music , Soundtrack , Classical , Original Score",0.0,0.7133698616733114
,"Hip-Hop/Rap , Music",1.0,0.6370752356278649
,"Dance , Music",0.0,0.011308377733718337
,"Dance , Music , Rock , House , Electronic , French Pop",0.0,0.004994294721076877
,"Dance , Music , Rock , House , Electronic , French Pop",0.0,0.0033978138192836734
,"Hip-Hop/Rap , Music , Rap",0.0,0.08449174107327787
,"Dance , Music , Rock , House , Electronic , French Pop",0.0,0.005302283853518693
,"Alternative , Music , Rock , Adult Alternative",0.0,0.3222265042944983
,"Dance , Music , Rock",0.0,0.00829062704246837
,"Pop , Music , R&B / Soul , Rock , Dance , Contemporary R&B",0.0,0.05615280966658887
,"Hip-Hop/Rap , Music , Rap",0.0,0.12389959128240631
,"Country , Music , Urban Cowboy , Honky Tonk , Contemporary Country",1.0,0.8652573995285429
"Pop , Music , Rock , Pop/Rock , Dance , Teen Pop","Country , Music , Honky Tonk , Urban Cowboy , Contemporary Country",1.0,0.9902930169494754
,"Pop , Music , Rock , R&B / Soul , Contemporary R&B , Dance,Electronic,Hip-Hop / Rap , Pop/Rock",0.0,0.0630154220365275
,"Rock , Music , Hard Rock , Alternative",1.0,0.9799778053182833
,"Country , Music , Pop , Teen Pop , Honky Tonk , Contemporary Country",0.0,0.3934400481047926
,"Dance , Music , Rock , Pop , House , Electronic , Electronica , Adult Alternative",0.0,0.003264314052546566
,"Singer/Songwriter , Music , Rock",0.0,0.005420092695017564
,"Dance , Music , Electronic , House , Rock , French Pop",0.0,0.14807444260788222
,"Pop , Music , R&B / Soul , Contemporary R&B , Hip-Hop/Rap , Pop/Rock , Rock",0.0,0.04761285150647951
,"Dance , Music , Rock , House , Electronic",0.0,0.012260062697917726
,"Pop , Music , Rock , R&B / Soul , Contemporary R&B , Dance",1.0,0.9817277514014912
,"Dance , Music",0.0,0.0047524246137467425
,"Hip-Hop/Rap , Music , Rap",0.0,0.0686699160090676
,"Dance , Music , Rock , House , Electronic , French Pop",0.0,0.00561357123432539
,"Hip-Hop/Rap , Music",1.0,0.8183292792997183
,"Hip-Hop/Rap , Music , Hardcore Rap , East Coast Rap , Rap",0.0,0.012496488245447213
,"Electronic , Music",0.0,0.04558844693157468
,"Dance , Music",0.0,0.0027989213552021964
,"Hip-Hop/Rap , Music , East Coast Rap , Hardcore Rap , Rap",0.0,0.010516692492392463
,"Hip-Hop/Rap , Music , Pop , Dirty South",0.0,0.04423207203571803
,"Dance , Music , Electronic",0.0,0.09713999673936197
,"Pop , Music , Rock , R&B / Soul , Contemporary R&B , Dance,Electronic,Hip-Hop / Rap , Pop/Rock",0.0,0.010190151295380515
,"Hip-Hop/Rap , Music , Rap , East Coast Rap , Hardcore Rap",1.0,0.49396548655776246
,"Pop , Music , R&B / Soul,Soul,Dance,Rock,Jazz,Hip-Hop / Rap,Electronic,Hip-Hop , Pop/Rock , Adult Alternative",1.0,0.9726844468699943
,"Pop , Music , R&B / Soul , Contemporary R&B , Hip-Hop/Rap , Pop/Rock , Rock",0.0,0.05648962298531326
,"Soundtrack,Music,Hip-Hop / Rap , West Coast Rap , Gangsta Rap , Hardcore Rap , Rap , Soundtrack",0.0,0.001824745140474738
,"Hip-Hop/Rap , Music , Rap , Electronic , World , Dance",1.0,0.9607062274832272
,"Dance , Music , Rock , Electronic",0.0,0.28547215758533084
,"Dance , Music , Rock , House , Electronic , French Pop",0.0,0.006321521432578531
,"Rock , Music , Metal , Alternative , Hard Rock",0.0,0.619312665858805
,"Dance , Music , Rock , House , Electronic",0.0,0.0059244720346598445
,"Dance , Music , Electronic",1.0,0.9416062524377456
,"Singer/Songwriter , Music , Rock",0.0,0.0021885721310105606
,"Dance,Music,Hip-Hop / Rap , Alternative Rap,Hip-Hop , R&B / Soul , Soul , Electronic",1.0,0.979761948977523
,"Hip-Hop/Rap , Music , R&B / Soul , Contemporary R&B , Dance , Rap",1.0,0.02428232508768123
,"Soundtrack , Music , Soundtrack , Classical , Original Score",1.0,0.9836102362799575
,"Dance , Music",0.0,0.0007887224410834802
,"Rock , Music , Hard Rock , Alternative",0.0,0.0028462151806316984
,"Dance , Music , Pop",0.0,0.5146077075870343
,"Hip-Hop/Rap , Music , Rap",0.0,0.06882838755830534
,"Pop , Music , Rock",0.0,0.009072004224210225
,"Country , Music , Urban Cowboy , Contemporary Country",1.0,0.9639457300054155
,"Alternative , Music , Rock , Adult Alternative",0.0,0.0725699903359907
,"Alternative , Music , Rock , Adult Alternative",0.0,0.44508309366935905
,"Rock , Music , Metal , Alternative , Hard Rock",0.0,0.614108927340267
,"Country , Music , Contemporary Country , Honky Tonk , Traditional Country",1.0,0.9564917883294207
,"Dance , Music , Electronic , Classical , Classical Crossover , Rock , House , Electronica",0.0,0.04062337971382135
,"Country , Music , Rock , Contemporary Country , Pop , Pop/Rock , Honky Tonk",0.0,0.1082255085537034
,"Pop , Music , R&B / Soul , Dance , Teen Pop , Rock",1.0,0.30019460880518084
,"Dance , Music , Rock , Pop , House , Electronic , Electronica , Adult Alternative",0.0,0.0020180900075858995
,"Dance,Music,Hip-Hop / Rap , Dirty South , Rap , Electronic",0.0,0.03343073820795613
"Pop , Music , Electronic , R&B / Soul , Dance , Pop/Rock","Pop , Music , Rock , Singer/Songwriter , Contemporary Singer/Songwriter , Adult Alternative",0.0,0.07924237358906812
,"Dance , Music , Electronic",0.0,0.0019886101148741137
,"Hip-Hop/Rap , Music , Rap , Dirty South",0.0,0.0038366745445006026
,"Hip-Hop/Rap , Music , Rap",0.0,0.09897481265582983
,"Hip-Hop/Rap , Music , East Coast Rap , Hardcore Rap , Rap",0.0,0.012361157301501748
,"Hip-Hop/Rap , Music , Pop , Dirty South",0.0,0.02586146793936574
,"Country , Music , Urban Cowboy , Honky Tonk , Contemporary Country",0.0,0.03064707030898261
,"Alternative , Music , Rock , Adult Alternative",1.0,0.9928277677006201
,"Dance , Music , Rock , House , Electronic , French Pop",0.0,0.001866166452104916
,"Dance , Music",0.0,0.0007426569029528398
,"Country , Music , Urban Cowboy , Honky Tonk , Contemporary Country",0.0,0.016731542457173773
,"Country , Music , Honky Tonk , Pop , Pop/Rock , Contemporary Country , Rock",1.0,0.9876964868629087
,"Pop , Music , Electronic , R&B / Soul , Pop/Rock , Dance",1.0,0.5265898560917631
,"Country , Music , Honky Tonk , Contemporary Country",1.0,0.9726242854506988
,"Dance , Music , R&B / Soul , Electronic",0.0,0.003287302586023975
,"Dance , Music , Rock , House , Electronic",0.0,0.02566255446723473
,"Electronic , Music",1.0,0.900181058457873
,"Dance , Music , Rock , House , Electronic , French Pop",0.0,0.002941046321355292
,"Dance , Music",0.0,0.8104934741560178
,"Electronic , Music , Dance , Rock , Electronica",0.0,0.003465628920795018
,"Hip-Hop/Rap , Music , Pop , Dirty South",0.0,0.06283826612360854
,"Country , Music , Contemporary Country , Honky Tonk , Traditional Country",1.0,0.9569219874194332
,"Hip-Hop/Rap , Music , Rap",1.0,0.4834535912076713
,"Dance , Music , Electronic , House , Rock , French Pop",0.0,0.014630402865819092
,"Hip-Hop/Rap , Music , Hardcore Rap , East Coast Rap , Rap",0.0,0.037866084739442314
,"House , Music , Dance , Rock , Electronic",0.0,0.0043579077576485605
,"Dance , Music",0.0,0.04715699945989751
,"Hip-Hop/Rap , Music",0.0,0.031834309493783644
,"Rock , Music",1.0,0.984105379118954
,"Hip-Hop/Rap , Music , Rap , Hardcore Rap , East Coast Rap , Rock",0.0,0.005752600240490201
,"Dance , Music , Rock , House , Electronic , French Pop",0.0,0.001985080997599382
,"Hip-Hop/Rap , Music , Rap",0.0,0.06878307544591919
"Pop , Music , Rock , Vocal , Teen Pop","Pop , Music",0.0,0.15617944899343497
,"Pop , Music , R&B / Soul , Contemporary R&B , Hip-Hop/Rap , Pop/Rock , Rock",0.0,0.04451537413255576
,"Pop , Music , R&B / Soul , Teen Pop , Dance , Rock",1.0,0.9827902791941732
,"Singer/Songwriter , Music , Rock",0.0,0.03661876309951914
,"Dance , Music",0.0,0.0561393416386743
,"Dance , Music , Electronic , House , Rock , French Pop",0.0,0.18899799459463562
,"Country , Music , Contemporary Country",1.0,0.985285588718875
,"Dance , Music , Electronic , House , Rock , French Pop",0.0,0.15506461239901928
,"Dance , Music , Electronic",0.0,0.27939723678984857
,"Pop , Music , Rock , Pop/Rock , Teen Pop , Dance",1.0,0.9787620517508058
,"Dance , Music , Electronic , House , Rock , French Pop",0.0,0.00639358985252165
,"Electronic,Music,Hip-Hop / Rap , Rap",0.0,0.24614686445454406
,"Hip-Hop/Rap , Music , Rock , Gangsta Rap , West Coast Rap",0.0,0.0148517572236375
,"Alternative , Music , Rock , Adult Alternative",0.0,0.08164058897342186
