left,right,label,score
global-software-publishing,microsoft software,0.0,0.0952667827402015
the-learning-company,adobe,0.0,0.09108150857271916
,topics entertainment,0.0,0.09320802158152193
,me-too-software,0.0,0.09439295764682597
,adobe,0.0,0.09137408284075359
,topics entertainment,0.0,0.09466642291191728
aspyr media,adobe,0.0,0.09360478406857248
,microsoft licenses,0.0,0.09404615846010972
,microsoft,0.0,0.09673851333160732
,steinberg,0.0,0.09500683287600609
,intuit,0.0,0.09195822252087484
,microsoft,0.0,0.09292832101808339
mediafour corporation,intuit,0.0,0.09279093262721319
,microsoft,0.0,0.09166237336640551
riverdeep-learning-company,steinberg,0.0,0.09333740853480707
fogware publishing,microsoft,0.0,0.09309109706250521
,nolo press,0.0,0.09657779143167283
,apple,0.0,0.09769773662562256
,adobe,0.0,0.09609215735652794
,microsoft,0.0,0.09228814203454193
lotus development corp,adobe,0.0,0.09333527588467361
encore software,adobe,0.0,0.09927008595480614
,punch ! software,0.0,0.0880740934417434
h & r block,aspyr media,1.0,0.10029653417598006
,microsoft,0.0,0.09108484641808119
,final draft,1.0,0.09671555189512532
corel,punch ! software,0.0,0.09696851926394395
,sony-pictures-digital-entertainment,0.0,0.07666939637162173
microspot ltd.,adobe,1.0,0.09852455241333798
intuit,phantom efx,0.0,0.09735193923109252
,panda software,0.0,0.09695164459186748
,microsoft,0.0,0.09248586785807805
,microsoft,0.0,0.09608613710041117
,microsoft,0.0,0.09661032119945982
,topics entertainment,1.0,0.09937016794019429
global-software-publishing,topics entertainment,0.0,0.09607368919397889
,microsoft,0.0,0.09174612971000487
,microsoft software,0.0,0.09334374606421733
encore software,microsoft,0.0,0.09354989911730623
,macsoft,0.0,0.09198359176611524
,hewlett-packard - ( consumables ),0.0,0.09186281639354198
,punch ! software,1.0,0.1075421971926988
,punch ! software,0.0,0.09626505355298613
adobe,adobe,0.0,0.0943656222464201
zone labs,intuit,0.0,0.09079080140841256
,adobe,0.0,0.0954934508602786
,global-software-publishing,1.0,0.952350799705804
,apple,0.0,0.09571524859409886
imsi,topics entertainment,0.0,0.09432017950444174
,fogware publishing,0.0,0.09616288395437472
,microsoft,0.0,0.09304504047470422
global marketing partners,makemusic !,0.0,0.09179162949226433
aspyr media,sibelius-software-ltd .,0.0,0.09058955450818269
symantec,adobe,0.0,0.09342869609699744
adobe,imsi design,0.0,0.09630441519601417
brighter-minds-media-inc .,encore software,0.0,0.09640890246686774
topics entertainment,adobe,0.0,0.09756987410814666
,broderbund,0.0,0.09097954910139947
,encore,0.0,0.08792595448531716
,microsoft,0.0,0.09477766830360972
fogware publishing,microsoft,0.0,0.09374609682442286
dantz,corel,0.0,0.08247352936649963
tri synergy,adobe,0.0,0.09218491888842031
avanquest publishing usa inc.,microspot ltd.,0.0,0.09364039163519153
,victory multimedia,0.0,0.09559305857117886
microspot ltd.,adobe,0.0,0.09474152998974544
topware interactive,adobe,1.0,0.09639743419890702
aspyr media,intuit,1.0,0.09966247190171797
,adobe,0.0,0.0928005048029343
,encore software,1.0,0.09714772414093956
stomp inc,microsoft software,0.0,0.09520695884543567
adobe,adobe,0.0,0.09319729085437271
,adobe,0.0,0.09399713661949703
,sonic systems inc. .,0.0,0.09631796079530923
encore,adobe,0.0,0.09319776283562256
,topics entertainment,0.0,0.09357733973643771
,nova development,0.0,0.09627233165055744
csdc,microsoft,0.0,0.09475852667370284
adobe,adobe,0.0,0.09681666348173676
,encore software,0.0,0.09461616053223128
,marware,0.0,0.09575415330175373
,topics entertainment,0.0,0.09384731105955979
global-marketing-partners,sage software,0.0,0.09428272656629177
,intego inc,0.0,0.09625761487510526
,encore software,0.0,0.09639062841250191
,global-software-publishing,0.0,0.09720076933444113
,microsoft,0.0,0.0971261089984273
,microsoft,0.0,0.0942438508744013
steinberg ( yamaha ),adobe,0.0,0.09417407505611161
,adobe,0.0,0.09355280141087038
,topics entertainment,0.0,0.09613442425970725
encore software,micromat,0.0,0.09510060079567266
dreamcatcher interactive,adobe,0.0,0.09415263398098936
,topics entertainment,0.0,0.09595437139047255
,adobe,0.0,0.09044237495501355
global-marketing-partners,adobe,0.0,0.09598860822621828
encore,microsoft corporation,0.0,0.09424466997521751
watchguard technologies inc,adobe,0.0,0.09053069767424969
,microsoft,0.0,0.09573601515360122
mariner software,nova development,0.0,0.09723896073970993
topics entertainment,adobe systems inc,0.0,0.09240659315741363
nuance-communications-inc .,iplaymusic,1.0,0.09842170242260119
,adobe,0.0,0.09074299431559334
,avid technology,0.0,0.09043223660575767
microsoft,aspyr media,0.0,0.09522725042641988
,mindjet,1.0,0.09727440412210574
,adobe,0.0,0.08763740165590553
,microsoft,0.0,0.09552341449043812
,microsoft,0.0,0.09423190226866149
,topics entertainment,0.0,0.591534709272597
,encore software,0.0,0.09368198557691193
alfred publishing,apple,0.0,0.0986313843112113
the learning company,microsoft,0.0,0.09278476473309195
,microsoft,0.0,0.09280170179680755
hewlett packard,phantom efx,1.0,0.09936698534774113
topics entertainment,apple,0.0,0.09471844575661044
,adobe,0.0,0.0921914809761378
adobe,adobe,0.0,0.09425081531249202
,topics entertainment,0.0,0.09163886312810629
adobe,adobe,0.0,0.09344365396485485
makemusic !,topics entertainment,0.0,0.09262250053246208
,apple,1.0,0.09722126723286306
,cosmi,1.0,0.09762768459259932
,encore,0.0,0.09532663897047984
