left,right,label,score
Nerdy Girl,Bulleit Bourbon Barrel Aged GKnight,0.0,0.054908409816405004
Rag Top Red Ale,Double Dragon Imperial Red Ale,0.0,0.015150107461196707
Maelstrom Red,Honey Basil Amber,1.0,0.21546476019003466
La Rousse Du Malbord,Clifford s Big Red Ale,0.0,0.010620858859186453
Trois De Pique,Real McCoy Amber Ale,1.0,0.994262806567063
Faction Red,Aqula American Amber Ale,0.0,0.01923956828318126
Red Nectar,Rocket City Red,0.0,0.045092781906311837
Hop Bet Red Ale,Jazz Beer Tarraco Amber,1.0,0.6544714044582446
Grendel s Ale,Twisted Stick Amber Ale,0.0,0.02230278544828201
Howler Red Ale,Red Hopper ( Imperial Red Ale ),0.0,0.004542211827889551
Keep On Truckin  Red IPA,Clifford s Big Red Ale,0.0,0.04035331060553591
Portsmouth Hop Harvest # 1,Red Racer India Style Red Ale,0.0,0.07010673743724968
Dry Hop Red,Green Flash Hop Head Red Ale,0.0,0.011786041365588073
Kozmonaut,Pike Old Bawdy Barley Wine,0.0,0.42312707945715194
Ruder Boy ( Aged In Bourbon Barrels ),Three Sheets Barleywine ( Syrah Barrel Aged ),0.0,0.005585868163460656
McNeill s Firehouse Amber Ale,Red Rock Opie Red Ale,0.0,0.07619237048448711
Angler s Amber,Ruby Red American Ale,0.0,0.01084551223583547
Strada S. Felice,Ruby Red American Ale,0.0,0.19945557758468663
Roedy _ ™ s Red,Rock Bottom Red Ale,0.0,0.10735735154876323
Drop Top Amber,Hop Around Imperial Red Ale,0.0,0.06875383085366271
1903 Red Ale,Blue Bridge Amber Dry Hopped,0.0,0.03779038696555042
Scottish Red,Arrow Point Amber,1.0,0.9639593641428272
Fullers Traitors  Gate,Bourbon Barrel Aged Horus Imperial Red,0.0,0.05998813579193482
Deliberation Amber,Lavery Imperial Red Ale,0.0,0.011107109206572685
Holy Crap ! ( Batch # 2 ),Smuttynose Kindest Find Imperial Red Ale,0.0,0.001873791848766278
King Crimson,Brewmaster s Reserve Imperial Red Ale,0.0,0.005975436816281704
Sabre-Toothed Squirrel,Good Medicine Strong Red Ale,0.0,0.022157679855181217
Blame Canada,Tongue Buckler - Imperial Red Ale,0.0,0.004560236950104097
King Crimson,Smuttynose Kindest Find Imperial Red Ale,0.0,0.011922806488347561
Old Madrona,Amber Waves Ale,1.0,0.8328217459873879
Faction Red,Honey Amber Ale,0.0,0.2228985899891641
Rag Top Red Ale,Batch 200 _  Olympus Mons Imperial Red Ale,0.0,0.029026283671071403
Little Tenderness,Rocky Point Red Ale,0.0,0.09964208328333647
Holy Crap ! ( Batch # 2 ),Red Shedman s Imperial Amber Ale,0.0,0.004324141612591795
Pecan Piewhole,Big Red Ale,0.0,0.06426161150010165
Red Headed Stranger,Alexander Keith s Red Amber Ale,0.0,0.015459980963136171
Prime Ale,Brass Ale Honey Amber,0.0,0.03724846456101513
Arlington Amber Ale,Tongue Buckler ( Bourbon Barrel Aged ),0.0,0.024615219664635857
Fire Chief s Red Ale,Main Street Amber Ale,0.0,0.030564679311685907
Happy Days,Inception Series - Runnin  With The Devil,0.0,0.0037791078624779648
Copperline Amber Ale,Sanibel Red Island Ale,0.0,0.1334924956248065
Broad River Red Ale,Red Rocket Amber Ale,1.0,0.9847087829163051
Howler Red Ale,Smuttynose Kindest Find Imperial Red Ale,0.0,0.0059034488005304375
Pride Red,Three Beavers Imperial Red Ale,0.0,0.02052461981963811
Big River Red Ale,Elevator Barrel Aged Barley Wine ( Bar Bar ),0.0,0.0015622853413482754
Milly s Tasha s Red Tail Ale,Hop Around Imperial Red Ale,0.0,0.01149417100488856
Rusty Red,Bushfire American Red,1.0,0.8302081947173121
Richter s Revenge,Bourbon Barrel Aged Horus Imperial Red,0.0,0.004103307021572528
LAviateur,Buffalo Soul Jah Imperial Red Ale,0.0,0.014312829102569766
10 Guilder,Red Headed Slut Amber Ale,0.0,0.059168959577304614
Red Hill Red Ale,Sierra Amber Ale,0.0,0.10184763562393986
Sweet Biscuit Amber Ale,Buck And Ball Double Amber Ale,0.0,0.022518063527093766
Rock Candy Red,Tongue Buckler - Imperial Red Ale,0.0,0.053835117913495316
Her Name Was Amber Ale,Green Lakes Organic Ale,0.0,0.9301681717756549
Oak Aged Imperial Red ( Venture Series ),Starlord s Mixtape / Groot Drank Imperial Red Ale,0.0,0.018695611598286976
Imperial Moustache Red Ale,Red Racer India Style Red Ale,0.0,0.014379751855788573
House Dressing,Rabbit Mountain Red Ale,0.0,0.017862701501812392
Accommodation Amber,Easy Amber Ale,0.0,0.26963737449651737
Blue Moon Valencia Amber Ale,Legends Of The Bay Giant s Tomb,1.0,0.910847589229464
Blazing Amber,Barrel Aged Imperial Red,0.0,0.055339193372341146
Rustic Red Ale,Red Rocket Amber Ale,0.0,0.02368255005011488
Keystone V9,Red Hopper ( Imperial Red Ale ),0.0,0.030215736674578747
The Spirit Of The 90 s ( 2015 Symposium Ale ),Lower De Boom Barleywine,0.0,0.5
Pamlico Amber,Ulysses Imperial Red Ale,0.0,0.06375709181265132
Victory Red,Amber Ale With Spanish Orange,0.0,0.017299507835248307
Revel Red,Starlord s Mixtape / Groot Drank Imperial Red Ale,0.0,0.011708682249259444
Obed s Pride Amber Ale,Brew Kahuna NW Red Ale,0.0,0.06746655584982178
Mare Nostrum Prestige,Willoughby American Amber Ale,1.0,0.9917134592677478
Forty-Niner Amber Ale,Frost Quake Bourbon Barrel Aged Barley Wine,0.0,0.019328487345149605
Rabbit Ears Amber Ale,Ambleside Amber Ale,0.0,0.6228552603485932
Little Red Ryeding Hood,Lavery Imperial Red Ale,0.0,0.04142590655849326
Miner s Red,Mountain City Amber Ale,0.0,0.03968566560109912
Little Red Ryeding Hood,Sledgehammer Imperial Red Ale,0.0,0.029717409290115956
Hornstull Honey Amber,Imperial Red Ale ( Spring Seasonal ),0.0,0.005642272061107176
Obed s Pride Amber Ale,Old Guardian Barley Wine Style Ale - Red Wine Barrel Aged,0.0,0.0023693722989805853
Freetail Original,Heatwave Red Ale,1.0,0.8287031265760857
Chill Session - Session Ale,Unite Red Rye Ale,0.0,0.10146729802385956
Northampton Clifford,Red Dread Imperial Red Ale,0.0,0.012653239868913696
Dora Drawdy Drool,Barrel Aged Imperial Red,0.0,0.007495539507800114
Blood On The Blade Red IPA,Red Toad Amber Ale,0.0,0.41041546914117044
The Ahwahnee,Red Dirt Imperial Red Ale,0.0,0.0131518514827522
Downpour,Red Fox Amber Ale,0.0,0.1450103238079089
Keystone V9,BJ s Imperial Red Ale,0.0,0.017163106235858424
Devil s Backbone,Mount Washington Organic Amber Ale,0.0,0.02641093282360075
