left,right,label,score
"david buttler , wei tang , calton pu , wei han , ling liu","binto george , jayant r. haritsa",0.0,0.024837277709275407
frank leymann,"michalis vazirgiannis , maria halkidi , yannis batistakis",0.0,0.10548968392905476
"sangyong hwang , kihong kim , sang kyun cha , keunjoo kwon","gerd g. hillebrand , peter buneman , susan b. davidson , dan suciu",0.0,0.0015113443780715762
"georg gottlob , robert baumgartner , sergio flesca","richard hull , mohammed rupawalla , michael doherty",0.0,0.0008881973040890366
anil nori,"jurgen annevelink , tak w. yan",0.0,0.0010523490798303784
"kenneth j. goldman , nancy a. lynch","raymond t. ng , divesh srivastava , h. v. jagadish , olga kapitskaia",0.0,0.028675481306775052
"michael stonebraker , nesime tatbul , mitch cherniack , stanley b. zdonik , ugur çetintemel","binto george , jayant r. haritsa",0.0,0.002407812076624538
"matthias klusch , katia p. sycara , seth widoff , jianguo lu","zhao-hui tang , jean-robert gruser , georges gardarin",0.0,0.004074342932978402
"dennis shasha , yunyue zhu","shaoyu zhou , m. seetha lakshmi",0.0,0.0015335538559757974
soumen chakrabarti,"roberta cochrane , hamid pirahesh , nelson mendonça mattos",0.0,0.0012764455929678354
"maurício r. mediano , marcelo dreux , marco a. casanova","michel tourn , man abrol , john wang , grace zhang , jianchang mao , uma mahadevan , rajat mukherjee , prabhakar raghavan , neil latarche",1.0,0.8984485896368735
"yirong xu , ramakrishnan srikant , rakesh agrawal","v. s. subrahmanian , eric lemar , k. selçuk candan",0.0,0.00036300762345180645
"tapas kanungo , frederick reiss","kinji ono , jihad boulos",0.0,0.0005601239725628275
karl aberer,"gerome miklau , jayant madhavan , igor tatarinov , zachary g. ives , xin dong , yana kadiyska , alon y. halevy , nilesh n. dalvi , dan suciu , peter mork",1.0,0.8251427639418671
"michael j. franklin , mehmet altinel","surajit chaudhuri , sanjay agrawal , vivek r. narasayya",1.0,0.9188335890436419
"balakrishna r. iyer , jeffrey scott vitter , p. krishnan","tobias mayr , thorsten von eicken , michael w. godfrey , praveen seshadri",0.0,0.0022137032985915144
"henrique madeira , marco vieira","reagan moore , arun jagatheesan , paul watson , norman w. paton",0.0,0.0020373700878945854
"ioana manolescu , stefano ceri","robert marek , erhard rahm",0.0,0.0059929820464127495
"benny souder , bob jenkins , lip boon doo , peter lim , gordon smith , dean daniels , curtis elsbernd , gary hallmark , alan downing , jim stamos , sandeep jain","barbara liskov , umesh maheshwari",0.0,0.0009204990267619301
