left,right,label,score
0,Inf. Sci.,0.0,0.01199886570930735
Journal of Chemical Information and Computer Sciences,0,0.0,0.008573456683535919
Machine Learning,Neural Computation,0.0,0.003481296880819924
Online Information Review,Inf. Sci.,0.0,0.0037003177683017237
0,0,1.0,0.852777248777672
0,Inf. Syst.,0.0,0.015238246151374911
0,0,0.0,0.0039015768002202476
0,Journal of Chemical Information and Computer Sciences,0.0,0.013992281892136325
0,LLC,0.0,0.0033917405894641857
0,{ACM} Trans. Database Syst.,1.0,0.9522788752628905
0,0,0.0,0.014723893699664356
0,Statistics and Computing,0.0,0.011368293742996863
0,Journal of Chemical Information and Computer Sciences,0.0,0.01022717240246853
International Journal of Geographical Information Science,0,0.0,0.00401135559133978
0,0,1.0,0.8376065461684035
Journal of Chemical Information and Computer Sciences,J. Artif. Intell. Res. {(JAIR)},0.0,0.02100563427413304
0,Int. J. Machine Learning {\\&} Cybernetics,0.0,0.0069861096602309375
0,Machine Learning,0.0,0.01743950633276631
Journal of Chemical Information and Computer Sciences,Frontiers of Computer Science in China,1.0,0.841127440142729
0,0,0.0,0.002967148319275314
0,0,0.0,0.04092650111553862
CoRR,0,0.0,0.20022203435921754
0,0,0.0,0.006453149773004564
0,0,0.0,0.019865607627005174
0,Bioinformatics,1.0,0.9033642609842061
0,0,0.0,0.011830064114696861
0,{IEEE} Trans. Knowl. Data Eng.,0.0,0.008996225105521432
0,0,0.0,0.3307914697916983
CoRR,0,1.0,0.9147288879702432
0,0,0.0,0.007033901810026762
CoRR,0,1.0,0.8205756247891801
0,0,0.0,0.4222781442173847
0,CoRR,0.0,0.015527554472202637
0,0,0.0,0.011720421157208241
Journal of Chemical Information and Computer Sciences,World Wide Web,0.0,0.008358187522893409
CoRR,{IEEE} Trans. Knowl. Data Eng.,0.0,0.006440119824586587
0,{IEEE} Trans. Knowl. Data Eng.,0.0,0.006429867678647699
0,0,0.0,0.021116503300640285
0,0,1.0,0.9148826365421666
{IEEE} Data Eng. Bull.,0,0.0,0.008977400249112337
0,0,0.0,0.05889425287652084
{VLDB} J.,0,0.0,0.004354742058561194
Cognitive Science,Journal of Chemical Information and Computer Sciences,0.0,0.008545636136262014
0,{IEEE} Transactions on Signal Processing,0.0,0.005542359070486786
0,0,0.0,0.004820054487276754
PVLDB,CoRR,0.0,0.00310725833558773
CoRR,Inf. Syst.,0.0,0.0062564392343683545
0,PVLDB,0.0,0.021434302811332635
0,0,1.0,0.8887643814411874
0,0,0.0,0.004104904078701161
0,0,0.0,0.010762006307273796
0,0,0.0,0.004412113856145429
0,Data Science Journal,0.0,0.01091565901052508
International Journal of Geographical Information Science,Journal of Chemical Information and Computer Sciences,0.0,0.017512252284349102
0,0,0.0,0.1317794482952207
0,0,0.0,0.02295573562100253
0,0,1.0,0.7568963390010046
0,0,0.0,0.006401637912218318
0,0,0.0,0.5468488002439409
IJIIP,0,0.0,0.003998271784985675
0,0,1.0,0.8754947543917252
J. Computational Applied Mathematics,Decision Sciences,0.0,0.0023581498905554596
0,Comput. J.,0.0,0.002708460630364479
0,0,0.0,0.02303407958105411
0,0,0.0,0.018941162431435656
0,0,0.0,0.007004870919251674
0,0,0.0,0.0049359722742548014
0,0,0.0,0.00472027253245944
0,0,1.0,0.8205959201761445
0,Comp. in Bio. and Med.,0.0,0.008921788537166353
0,0,0.0,0.42193543130900796
0,0,1.0,0.9147887211843564
Neural Computation,0,1.0,0.8655909316649893
0,0,1.0,0.8020263090182126
Machine Learning,CoRR,0.0,0.0033707684137034236
0,0,0.0,0.0030390746368692497
0,0,0.0,0.39993571334315126
PLoS Computational Biology,0,0.0,0.4604507641229213
Computers {\\&} Education,0,0.0,0.00643073234101501
0,0,0.0,0.0020637031538233734
0,Neural Computation,0.0,0.10661902818951804
0,CoRR,1.0,0.8187868152533159
0,CoRR,0.0,0.4813559228621587
0,0,1.0,0.8374351832458885
0,0,1.0,0.9149085959568843
0,PVLDB,0.0,0.004548575457716247
Int. J. Systems Science,0,0.0,0.020436850962412365
Signal Processing,0,0.0,0.028088851881777302
Bioinformatics,0,0.0,0.007874700920116592
J. Grid Comput.,0,0.0,0.005642704855977163
Machine Learning,0,0.0,0.007953951870302407
0,0,0.0,0.004815918184615599
0,0,0.0,0.012113173434842753
0,CoRR,0.0,0.028624761753103706
0,PVLDB,1.0,0.696482721293217
Journal of Chemical Information and Computer Sciences,Journal of Chemical Information and Computer Sciences,0.0,0.024595308280245025
0,0,0.0,0.012408900011688833
CoRR,0,0.0,0.005663905752072822
0,0,0.0,0.0038301767336530843
Machine Learning,International Journal of Geographical Information Science,0.0,0.01221923144909115
