left,right,label,score
french,californian,0.0,0.02463241047620976
french,asian,1.0,0.370647467187189
italian,italian,0.0,0.004699420628865253
american,american,1.0,0.9826265829299771
californian,continental,0.0,0.015448929651696886
italian,continental,0.0,0.010060490697025042
coffee bar,american,0.0,0.04747040246964447
american,asian,0.0,0.013756690366756374
american,asian,1.0,0.9886625086550209
french,international,0.0,0.0040682454171684845
french,italian,0.0,0.07632230277325715
international,mexican,0.0,0.006690925267350364
coffee bar,southwestern,0.0,0.03373572932113819
american,health food,0.0,0.0037124421546253
californian,buffets,0.0,0.0013161108735077218
ext 6108 international,french,0.0,0.032736129954375255
asian,french,0.0,0.01362276784902122
coffee bar,coffee shops/diners,0.0,0.0018187887820465371
mexican,dive american,0.0,0.039569537336362
asian,continental,0.0,0.011698984638864483
coffee bar,french,0.0,0.052314626698279194
american,coffee shops/diners,0.0,0.015298661735399169
asian,caribbean,1.0,0.999999164205109
american,seafood,0.0,0.021046816004860754
french,italian,1.0,0.309813145318417
mediterranean,asian,0.0,0.0018299007115298003
french,seafood,0.0,0.012401823866211362
coffee bar,steak houses,0.0,0.18299412248570024
middle eastern,continental,0.0,0.0036377420954247326
asian,coffee shops/diners,0.0,0.016190038065331716
californian,coffee shops/diners,0.0,0.007545649318884029
french,asian,0.0,0.0027444386569031075
american,continental,0.0,0.002570040461358361
american,buffets,0.0,0.0007451159797467611
italian,continental,0.0,0.34762884336680194
mexican,tel caribbean,1.0,0.999999926889996
italian,french,0.0,0.01744334176404018
american,caribbean,0.0,0.004607460577430261
italian,international,0.0,0.001690547472876622
coffee bar,asian,0.0,0.040443816505102245
latin american,asian,0.0,0.0060053698801370995
dive american,continental,0.0,0.002441066472875411
italian,asian,0.0,0.012963277124597952
french,italian,0.0,0.01160437128870691
coffee bar,asian,0.0,0.004308178585300273
middle eastern,continental,0.0,0.0069640785383729515
french,italian,0.0,0.02196560275785467
french,american,0.0,0.007237255707712866
italian,steak houses,0.0,0.001919571977742545
mediterranean,mexican,0.0,0.0010876858916798809
american,american,0.0,0.0025846967864203633
american,american,0.0,0.0025541791616770977
dive american,steak houses,0.0,0.008640821551660013
american,italian,0.0,0.008557895397004783
asian,continental,0.0,0.027152221529757856
american,southwestern,0.0,0.001853988065209465
seafood,french,1.0,0.9999975436055516
american,seafood,1.0,0.5894618416125392
asian,italian,1.0,0.9999992668235932
american,delicatessen,1.0,0.9999858917134621
italian,american,0.0,0.013049461797235746
asian,italian,0.0,0.02338821565407072
american,coffee shops/diners,0.0,0.006905675249584731
italian,mediterranean,0.0,0.010903807567601606
american,international,1.0,0.7172544718344233
asian,asian,0.0,0.01976339261554497
american,american,0.0,0.06364768870038676
asian,continental,0.0,0.003372517326415049
american,coffee shops/diners,0.0,0.009229630810903567
american,asian,0.0,0.0006070794970580343
asian,american,0.0,0.005088228093943923
french,californian,0.0,0.022566541951957408
american,seafood,0.0,0.0011568797337430821
american,french,0.0,0.03752018534534284
american,continental,1.0,0.9999927971972534
french,asian,1.0,0.07765976884783644
californian,asian,0.0,0.0011387419844779186
american,continental,0.0,0.007201600542752585
asian,ext 6108 international,0.0,0.0036615649460283325
french,american,0.0,0.0013225628394300934
coffee bar,french,0.0,0.01318867780070313
asian,french,0.0,0.02315639700732134
asian,french,0.0,0.1696934592547512
american,continental,0.0,0.01352551042269705
caribbean,buffets,0.0,0.00190375956878789
french,coffee shops/diners,0.0,0.013432719800912306
asian,italian,0.0,0.006516469774632068
american,italian,0.0,0.017755902032719966
seafood,asian,0.0,0.09209245550968469
american,american,0.0,0.024682158956762342
coffee bar,international,0.0,0.013112212585502282
health food,continental,0.0,0.0014684546110911027
american,southwestern,0.0,0.0016832927232001502
italian,asian,0.0,0.04701385605451477
american,american,0.0,0.015119776407912695
american,caribbean,0.0,0.17705552332666188
asian,french,0.0,0.20736585427055415
asian,continental,0.0,0.00610631629360691
french,french,0.0,0.0034481647903132607
french,continental,0.0,0.01340097462785414
californian,buffets,0.0,0.0014158938388575308
american,dive american,0.0,0.0034154037415195103
american,californian,0.0,0.020177476259247658
dive american,coffee shops/diners,0.0,0.009293704132224098
italian,french,1.0,0.9999995140186244
coffee bar,asian,0.0,0.011422956654464796
american,asian,0.0,0.007531983989621223
californian,southwestern,0.0,0.0030462028332594584
asian,continental,0.0,0.0031785545351470925
or 212/941 -0772 american,french,1.0,0.33624310298959853
french,health food,0.0,0.0035662343606380344
asian,american,0.0,0.0013527925895211437
italian,french,0.0,0.008708824767757268
italian,italian,0.0,0.010582092356739148
asian,french,1.0,0.9775196267319042
mediterranean,asian,0.0,0.0012510781755511278
american,american,0.0,0.001323015038916047
american,international,0.0,0.0041344334064346315
asian,steak houses,0.0,0.015741506461987118
asian,american,0.0,0.001582105551930524
latin american,american,0.0,0.0022546754408729833
american,french,0.0,0.029339481885367308
french,asian,0.0,0.07555326783807695
middle eastern,american,0.0,0.030673875399503184
steak houses,french,0.0,0.004783880694344783
french,asian,0.0,0.011513220099002299
american,asian,0.0,0.006708044073871093
italian,asian,0.0,0.04442780836679491
seafood,italian,1.0,0.8828001504485531
coffee bar,californian,0.0,0.12369650369210923
french,international,0.0,0.011473337427744503
american,french,0.0,0.003578321561148618
american,asian,0.0,0.055972426723184435
asian,american,1.0,0.9955916305446466
italian,american,0.0,0.018703631879281087
american,californian,0.0,0.01995743365142838
mexican,coffee shops/diners,0.0,0.003480755174009536
french,ext 6108 international,0.0,0.029675328794641145
latin american,continental,0.0,0.00873987766226947
italian,greek and middle eastern,0.0,0.0212785723411118
coffee bar,continental,0.0,0.02238307391404899
or 212/632 -5100 american,mediterranean,0.0,0.016812046460419124
asian,american,0.0,0.019099779246117797
american,international,0.0,0.003959423652414841
french,dive american,0.0,0.002323485683264357
italian,ext 6108 international,0.0,0.005243703819774833
asian,french,0.0,0.0462368373911471
latin american,east european,0.0,0.004691174100090468
french,french,0.0,0.014049998068092161
dive american,mexican,0.0,0.006408932328988291
american,continental,0.0,0.0056905077435494954
french,seafood,1.0,0.999999359536299
coffee bar,asian,0.0,0.0069773703162959696
mediterranean,asian,0.0,0.002902767917042714
international,french,0.0,0.010296229619221532
french,american,0.0,0.00669232464006959
asian,american,1.0,0.9966027800088751
french,seafood,0.0,0.0029618326527070396
american,continental,0.0,0.003727110216750471
american,american,0.0,0.00730557537855765
coffee bar,american,0.0,0.014277090064400484
asian,coffee shops/diners,0.0,0.03070940194916832
asian,american,0.0,0.029725409969485413
asian,french,0.0,0.018418546519768902
american,continental,0.0,0.007811710595664773
italian,international,1.0,0.9999962377674271
american,french,0.0,0.0031921252213184684
latin american,mediterranean,0.0,0.017721239033094135
californian,only in las vegas,0.0,0.002436111687685297
caribbean,seafood,0.0,0.010264769270180002
middle eastern,only in las vegas,0.0,0.009081203463665056
seafood,asian,0.0,0.015299197779065715
american,asian,0.0,0.01590752906214576
american,continental,0.0,0.004323722160557101
french,italian,0.0,0.002492654545094987
french,american,0.0,0.03643296340044736
ext 6108 international,american,0.0,0.009484869797738672
mediterranean,italian,0.0,0.027770255340180704
californian,coffee shops/diners,0.0,0.005534415887080379
coffee bar,coffee shops/diners,0.0,0.0037065709407569924
californian,coffee shops/diners,0.0,0.004475011624919264
coffee bar,asian,0.0,0.005835921994852912
american,asian,0.0,0.004178008237749541
french,continental,0.0,0.002593705819727477
american,mediterranean,1.0,0.9999987913324213
italian,french,0.0,0.031900572198485314
american,southern,0.0,0.01810537958816009
american,buffets,0.0,0.005953798557589237
french,french,0.0,0.022954517212075004
