left,right,label,score
electronics - general,usb drives,0.0,0.046049620895274604
,electronics - general,0.0,0.04012169940670494
,electronics - general,0.0,0.06061140894779316
,electronics - general,0.0,0.05994733135831668
,usb drives,0.0,0.04592928703785037
,hard drives,0.0,0.05770126413577771
,electronics - general,0.0,0.11383128030424389
,stationery & office machinery,1.0,0.0649115443773588
,printers,0.0,0.042471412768353596
,printers,1.0,0.9999845904325397
,car stereos,0.0,0.16967683603003708
,electronics - general,0.0,0.010970072436377766
,mp3 accessories,0.0,0.08278161659701538
,networking,1.0,0.9999955230136004
,electronics - general,0.0,0.03424820784811415
,electronics - general,0.0,0.06477320584693978
,electronics - general,0.0,0.058992359420202416
electronics - general,networking,0.0,0.05100451915330132
,electronics - general,0.0,0.06122980850864385
electronics - general,printers,0.0,0.048827743959036364
,tv accessories,0.0,0.044915597886214485
mp3 accessories,hard drives,0.0,0.8528990116889095
software,mp3 accessories,1.0,0.5697931437661317
,electronics - general,0.0,0.03486499259512914
electronics - general,electronics - general,0.0,0.03458531948577781
,electronics - general,0.0,0.031616333414014826
,car stereos,0.0,0.049305248372771046
,stationery & office machinery,0.0,0.07407572300889861
,electronics - general,0.0,0.03170713351571455
,electronics - general,0.0,0.06192662356626306
,stationery & office machinery,0.0,0.0662591622713938
car stereos,printers,0.0,0.05101062552847665
,electronics - general,0.0,0.06033318789221472
mice,usb drives,0.0,0.0270474778236213
,usb drives,0.0,0.00921452400475603
,stationery & office machinery,0.0,0.06497288098241355
,electronics - general,0.0,0.06490440736247764
,electronics - general,0.0,0.06163662746202418
,printers,0.0,0.06140673891644098
,electronics - general,0.0,0.06761889817770267
,electronics - general,0.0,0.010299297846034824
,electronics - general,0.0,0.050996897947368974
,tv accessories,1.0,0.034003398607891165
,electronics - general,0.0,0.06091829491167245
,hard drives,0.0,0.03148219595987359
,tv accessories,0.0,0.13171255645760904
,digital cameras,0.0,0.07002174477638858
,memory,0.0,0.008208444205863792
,stationery & office machinery,0.0,0.06134463738677903
electronics - general,car stereos,0.0,0.051512525283463936
,monitors,0.0,0.039887259100495995
,electronics - general,0.0,0.05964800487751258
,stationery & office machinery,0.0,0.06513385736145084
,car stereos,0.0,0.12849998317134134
,electronics - general,0.0,0.0598627691807054
,electronics - general,0.0,0.08598921391856908
,software,0.0,0.049013179848376685
