left,right,label,score
,"Hip-Hop/Rap , Music , Dirty South",0.0,0.01745284773408526
,"Soundtrack , Music , Soundtrack , Classical , Original Score",0.0,0.6488601303073573
,"Hip-Hop/Rap , Music",1.0,0.42571636785660194
,"Dance , Music",0.0,0.042578632958666505
,"Dance , Music , Rock , House , Electronic , French Pop",0.0,0.031704971393635255
,"Dance , Music , Rock , House , Electronic , French Pop",0.0,0.051159605731383576
,"Hip-Hop/Rap , Music , Rap",0.0,0.13306082764458668
,"Dance , Music , Rock , House , Electronic , French Pop",0.0,0.044407802490613206
,"Alternative , Music , Rock , Adult Alternative",0.0,0.6195656495462174
,"Dance , Music , Rock",0.0,0.030019363844207347
,"Pop , Music , R&B / Soul , Rock , Dance , Contemporary R&B",0.0,0.03415564710326967
,"Hip-Hop/Rap , Music , Rap",0.0,0.12339057206930745
,"Country , Music , Urban Cowboy , Honky Tonk , Contemporary Country",1.0,0.9325925634293396
"Pop , Music , Rock , Pop/Rock , Dance , Teen Pop","Country , Music , Honky Tonk , Urban Cowboy , Contemporary Country",1.0,0.9562587363169737
,"Pop , Music , Rock , R&B / Soul , Contemporary R&B , Dance,Electronic,Hip-Hop / Rap , Pop/Rock",0.0,0.03600682559677159
,"Rock , Music , Hard Rock , Alternative",1.0,0.9662358516500585
,"Country , Music , Pop , Teen Pop , Honky Tonk , Contemporary Country",0.0,0.1791990205624779
,"Dance , Music , Rock , Pop , House , Electronic , Electronica , Adult Alternative",0.0,0.02040819734231585
,"Singer/Songwriter , Music , Rock",0.0,0.016498093039428764
,"Dance , Music , Electronic , House , Rock , French Pop",0.0,0.14490821133251744
,"Pop , Music , R&B / Soul , Contemporary R&B , Hip-Hop/Rap , Pop/Rock , Rock",0.0,0.047577858102691654
,"Dance , Music , Rock , House , Electronic",0.0,0.03691907015800057
,"Pop , Music , Rock , R&B / Soul , Contemporary R&B , Dance",1.0,0.9680609014512477
,"Dance , Music",0.0,0.01827750475098706
,"Hip-Hop/Rap , Music , Rap",0.0,0.06858771569462799
,"Dance , Music , Rock , House , Electronic , French Pop",0.0,0.02835903749808603
,"Hip-Hop/Rap , Music",1.0,0.6641654980013929
,"Hip-Hop/Rap , Music , Hardcore Rap , East Coast Rap , Rap",0.0,0.019866561015428514
,"Electronic , Music",0.0,0.06902219603591372
,"Dance , Music",0.0,0.019813647228059138
,"Hip-Hop/Rap , Music , East Coast Rap , Hardcore Rap , Rap",0.0,0.015484028515069657
,"Hip-Hop/Rap , Music , Pop , Dirty South",0.0,0.03065685928380826
,"Dance , Music , Electronic",0.0,0.17315419218248862
,"Pop , Music , Rock , R&B / Soul , Contemporary R&B , Dance,Electronic,Hip-Hop / Rap , Pop/Rock",0.0,0.01803020014167477
,"Hip-Hop/Rap , Music , Rap , East Coast Rap , Hardcore Rap",1.0,0.6497848659435149
,"Pop , Music , R&B / Soul,Soul,Dance,Rock,Jazz,Hip-Hop / Rap,Electronic,Hip-Hop , Pop/Rock , Adult Alternative",1.0,0.9665743580158827
,"Pop , Music , R&B / Soul , Contemporary R&B , Hip-Hop/Rap , Pop/Rock , Rock",0.0,0.06111758658294488
,"Soundtrack,Music,Hip-Hop / Rap , West Coast Rap , Gangsta Rap , Hardcore Rap , Rap , Soundtrack",0.0,0.07925757539281476
,"Hip-Hop/Rap , Music , Rap , Electronic , World , Dance",1.0,0.9120300937217778
,"Dance , Music , Rock , Electronic",0.0,0.17577190612891844
,"Dance , Music , Rock , House , Electronic , French Pop",0.0,0.036090530268247774
,"Rock , Music , Metal , Alternative , Hard Rock",0.0,0.5225929254492867
,"Dance , Music , Rock , House , Electronic",0.0,0.041041725534891764
,"Dance , Music , Electronic",1.0,0.9321709247055454
,"Singer/Songwriter , Music , Rock",0.0,0.026823377837937232
,"Dance,Music,Hip-Hop / Rap , Alternative Rap,Hip-Hop , R&B / Soul , Soul , Electronic",1.0,0.9664675855674542
,"Hip-Hop/Rap , Music , R&B / Soul , Contemporary R&B , Dance , Rap",1.0,0.05340942906381604
,"Soundtrack , Music , Soundtrack , Classical , Original Score",1.0,0.9666992634351834
,"Dance , Music",0.0,0.046558329915136434
,"Rock , Music , Hard Rock , Alternative",0.0,0.031584505445061535
,"Dance , Music , Pop",0.0,0.37202014008966716
,"Hip-Hop/Rap , Music , Rap",0.0,0.06858887849104083
,"Pop , Music , Rock",0.0,0.0228798971865256
,"Country , Music , Urban Cowboy , Contemporary Country",1.0,0.9587972703213965
,"Alternative , Music , Rock , Adult Alternative",0.0,0.08580382666507358
,"Alternative , Music , Rock , Adult Alternative",0.0,0.6836677627788926
,"Rock , Music , Metal , Alternative , Hard Rock",0.0,0.5201713964831327
,"Country , Music , Contemporary Country , Honky Tonk , Traditional Country",1.0,0.9579616211800425
,"Dance , Music , Electronic , Classical , Classical Crossover , Rock , House , Electronica",0.0,0.04516379114915446
,"Country , Music , Rock , Contemporary Country , Pop , Pop/Rock , Honky Tonk",0.0,0.5222296001156828
,"Pop , Music , R&B / Soul , Dance , Teen Pop , Rock",1.0,0.08230395529708914
,"Dance , Music , Rock , Pop , House , Electronic , Electronica , Adult Alternative",0.0,0.04426684171748601
,"Dance,Music,Hip-Hop / Rap , Dirty South , Rap , Electronic",0.0,0.034497285294625014
"Pop , Music , Electronic , R&B / Soul , Dance , Pop/Rock","Pop , Music , Rock , Singer/Songwriter , Contemporary Singer/Songwriter , Adult Alternative",0.0,0.0777554842260517
,"Dance , Music , Electronic",0.0,0.02105168097978941
,"Hip-Hop/Rap , Music , Rap , Dirty South",0.0,0.01651656369743104
,"Hip-Hop/Rap , Music , Rap",0.0,0.14940075265298103
,"Hip-Hop/Rap , Music , East Coast Rap , Hardcore Rap , Rap",0.0,0.01800671647102763
,"Hip-Hop/Rap , Music , Pop , Dirty South",0.0,0.02026192607119236
,"Country , Music , Urban Cowboy , Honky Tonk , Contemporary Country",0.0,0.027771955029277467
,"Alternative , Music , Rock , Adult Alternative",1.0,0.9668080333729854
,"Dance , Music , Rock , House , Electronic , French Pop",0.0,0.06873883300006443
,"Dance , Music",0.0,0.04617039465674114
,"Country , Music , Urban Cowboy , Honky Tonk , Contemporary Country",0.0,0.0270598754691267
,"Country , Music , Honky Tonk , Pop , Pop/Rock , Contemporary Country , Rock",1.0,0.9669570034756791
,"Pop , Music , Electronic , R&B / Soul , Pop/Rock , Dance",1.0,0.12690880507989447
,"Country , Music , Honky Tonk , Contemporary Country",1.0,0.9669325093654249
,"Dance , Music , R&B / Soul , Electronic",0.0,0.01712307290329601
,"Dance , Music , Rock , House , Electronic",0.0,0.03689995721635081
,"Electronic , Music",1.0,0.9371541662818136
,"Dance , Music , Rock , House , Electronic , French Pop",0.0,0.03160288910904038
,"Dance , Music",0.0,0.31461423174287584
,"Electronic , Music , Dance , Rock , Electronica",0.0,0.022153403190304503
,"Hip-Hop/Rap , Music , Pop , Dirty South",0.0,0.03780203195214414
,"Country , Music , Contemporary Country , Honky Tonk , Traditional Country",1.0,0.9582222749382875
,"Hip-Hop/Rap , Music , Rap",1.0,0.2614240407416497
,"Dance , Music , Electronic , House , Rock , French Pop",0.0,0.020209347014486664
,"Hip-Hop/Rap , Music , Hardcore Rap , East Coast Rap , Rap",0.0,0.03272452087790347
,"House , Music , Dance , Rock , Electronic",0.0,0.016662315208950958
,"Dance , Music",0.0,0.040634102622152085
,"Hip-Hop/Rap , Music",0.0,0.036743363856459106
,"Rock , Music",1.0,0.9652118064753991
,"Hip-Hop/Rap , Music , Rap , Hardcore Rap , East Coast Rap , Rock",0.0,0.06128845803926919
,"Dance , Music , Rock , House , Electronic , French Pop",0.0,0.04282442410894236
,"Hip-Hop/Rap , Music , Rap",0.0,0.06858854621731925
"Pop , Music , Rock , Vocal , Teen Pop","Pop , Music",0.0,0.09281533919773174
,"Pop , Music , R&B / Soul , Contemporary R&B , Hip-Hop/Rap , Pop/Rock , Rock",0.0,0.06500918348545966
,"Pop , Music , R&B / Soul , Teen Pop , Dance , Rock",1.0,0.9669247812822795
,"Singer/Songwriter , Music , Rock",0.0,0.02168032306563779
,"Dance , Music",0.0,0.03553349766930868
,"Dance , Music , Electronic , House , Rock , French Pop",0.0,0.16105906566330566
,"Country , Music , Contemporary Country",1.0,0.9666489749929772
,"Dance , Music , Electronic , House , Rock , French Pop",0.0,0.16127250068566282
,"Dance , Music , Electronic",0.0,0.36139449443880944
,"Pop , Music , Rock , Pop/Rock , Teen Pop , Dance",1.0,0.9664640402967672
,"Dance , Music , Electronic , House , Rock , French Pop",0.0,0.02344431211975435
,"Electronic,Music,Hip-Hop / Rap , Rap",0.0,0.14104564379662746
,"Hip-Hop/Rap , Music , Rock , Gangsta Rap , West Coast Rap",0.0,0.023068178916258515
,"Alternative , Music , Rock , Adult Alternative",0.0,0.09071032075633052
